Market,Transaction_Cost_bps_Used,Sharpe_Ratio_NoTC,Sortino_Ratio_NoTC,Total_Return_Pct_NoTC,Max_Drawdown_Pct_NoTC,Win_Rate_Pct_NoTC,Profit_Factor_NoTC,Final_Equity_NoTC,Sharpe_Ratio_WithTC,Sortino_Ratio_WithTC,Total_Return_Pct_WithTC,Max_Drawdown_Pct_WithTC,Win_Rate_Pct_WithTC,Profit_Factor_WithTC,Final_Equity_WithTC,Annual_Vol_Pct,Diff_Sharpe_Training_Metric,Adjusted_Ann_Return,Adjusted_Ann_Volatility,Breakeven_TC_bps
US,0.0707,1.3348652790522688,1.7203245353941528,4.424199218749991,-0.8835402317345142,53.26576576576577,1.3455,10442.42,-0.3172300933643195,-0.41032558615947756,-1.0570001349938463,-3.0475385451136034,44.25675675675676,0.9335861449840338,9894.299986500615,0.9405562295043912,0.007852377447683329,0.012555158595205285,0.009405562295043912,0.05706613671069853
Mexico,0.2182,2.62968950338546,3.1575564579003634,4.369921875000005,-0.3501738188788295,54.67196819085487,1.7294325,10436.992,-0.4183424139489337,-0.46469026164839045,-0.6930580192520575,-1.182790493285669,45.32803180914513,0.9201323617292163,9930.694198074794,0.8325339085982231,0.017730387701605888,0.021893057244597003,0.008325339085982231,0.18833119285005126
Chile,0.39530000000000004,0.9348519560990313,0.8809665988446704,0.11666992187500114,-0.14876315835863352,55.35714285714286,1.162848,10011.667,-11.752809590715955,-8.641969876627115,-1.6836998107690127,-1.6624896706141146,22.321428571428573,0.13158364698780448,9831.630018923099,0.28079878170364314,0.0012210590068730638,0.0026250529153912794,0.002807987817036431,0.025616562613942667
Brazil,0.16670000000000001,4.150797774883291,4.922698910453909,7.312753906249991,-0.308589986525476,60.526315789473685,2.0811477,10731.275,-5.193173475500809,-4.793666660754452,-9.497961854376769,-9.564164739614462,34.08521303258145,0.4174413663209133,9050.203814562323,0.5563478477065352,0.020311134272371936,0.02309287351090461,0.005563478477065352,0.07251535604902637
EU,0.0434,0.8600206486880779,0.8600206486880779,22.95094726562501,-0.20681095775216818,74.94423791821562,5.797001,12295.095,0.3472784133689773,0.3472784133689773,9.267648134549077,-0.9648480523792994,53.7546468401487,1.9567680964531586,10926.764813454907,0.5179682068679891,0.04041119140006395,0.043001032434403896,0.0051796820686798905,0.07279466209759555
India,0.126,4.423442272631771,6.181896786600834,19.424619140625012,-0.479209516197443,59.01234567901235,2.459441,11942.462,-4.788452199297246,-4.7382711307716345,-21.89651571021931,-23.106400239099088,31.604938271604937,0.4315066748070464,7810.348428978069,1.3661792353676216,0.05360125420105385,0.06043215037789196,0.013661792353676216,0.0592312399092475
China,0.1946,4.456290830601308,5.2925237235883955,30.37529296874999,-0.670540751889348,62.532637075718014,2.2953618,13037.529,-3.428157627507032,-3.3386879711852617,-24.218055673608585,-24.531942827546338,37.989556135770236,0.5551863579860615,7578.194432639141,2.24242843417645,0.08871698916376529,0.09992913133464754,0.0224242843417645,0.1082738370948406
