Transaction_Cost_bps,US,EU,Mexico,Chile,Brazil,India,China
0.0,1.3348654146550596,0.8600206468552288,2.629689306102254,0.9348520776151734,4.1507980015253905,4.423442633242759,4.456290769464886
0.025,0.7495366758092726,0.5646622174276646,2.2845797706616535,0.022520698488577646,2.72773584801262,2.5772971648483596,3.450466767223771
0.05,0.16484085077673818,0.26930378800010035,1.937573722945685,-0.8900916313481246,1.2923235871524892,0.6949783034125537,2.422714681637146
0.07500000000000001,-0.4170122769250319,-0.026054641427463957,1.5890337326317128,-1.7989577852554361,-0.1421471901822769,-1.1773793028470436,1.3832520499320486
0.1,-0.9938791915691907,-0.3214130708550282,1.2393299764293446,-2.7001319484185675,-1.5625460132198619,-2.995468147638342,0.34275681297937194
0.125,-1.5637205971649377,-0.6167715002825924,0.8888382987966424,-3.589833806682354,-2.9564898004521423,-4.721738896885024,-0.6881743345133038
0.15000000000000002,-2.1246347735757607,-0.9121299297101567,0.5379382049971816,-4.464524526529248,-4.312847671323103,-6.3285850105912225,-1.6995515141384834
0.17500000000000002,-2.674885186637686,-1.207488359137721,0.18701081132525788,-5.320971140505379,-5.62212009332355,-7.799335546678137,-2.68244227805228
0.2,-3.2129216104340315,-1.5028467885652852,-0.1635632217472029,-6.156296927788715,-6.876669435843156,-9.127371149349488,-3.6293038447370427
0.225,-3.7373944458044774,-1.7982052179928494,-0.5134057474024313,-6.968016484493652,-8.070801195124332,-10.314101808256797,-4.534175678215784
0.25,-4.247162322116632,-2.093563647420414,-0.8621431554332253,-7.7540552825165605,-9.200713575596161,-11.36657082519039,-5.392733888973751
0.275,-4.741293416505442,-2.3889220768479777,-1.2094083352973943,-8.512754504755996,-10.26434495837652,-12.295231676267386,-6.202227123011693
0.30000000000000004,-5.219061194235567,-2.6842805062755426,-1.5548425556229606,-9.242862734727712,-11.261153462819717,-13.112172441962137,-6.961324401416472
0.325,-5.6799354553796615,-2.979638935703107,-1.898097238398941,-9.94351662429947,-12.191861458919638,-13.829851088772363,-7.669908547296138
0.35000000000000003,-6.1235696672352855,-3.2749973651306705,-2.2388356084060033,-10.614212956208169,-13.058192563885832,-14.460284694324113,-8.328846035264117
0.375,-6.549785577910825,-3.570355794558234,-2.576734201119437,-11.254774580554779,-13.862621498187988,-15.014589544013397,-8.939757758467655
0.4,-6.958556058916886,-3.865714223985799,-2.9114842152656752,-11.865312579574328,-14.608149900592117,-15.502767101270413,-9.504807640047806
0.42500000000000004,-7.349987030600299,-4.161072653413364,-3.2427926993396397,-12.446186755557882,-15.298114895484295,-15.933648659598614,-10.026518892936576
0.45,-7.72429920110566,-4.456431082840927,-3.570383564598903,-12.99796619645111,-15.936032365068575,-16.31493413177419,-10.50762197225544
0.47500000000000003,-8.081810212721388,-4.751789512268492,-3.8939984202500533,-13.52139129994955,-16.525473565072822,-16.65328084391847,-10.950934161527403
0.5,-8.422917651575597,-5.047147941696057,-4.213397229647302,-14.017338267599365,-17.069971741344652,-16.954414043847603,-11.359268176708536
