Tenor,spread_20y_30y,fly_3m_6m_9m,fly_6m_9m_1y,fly_4y_5y_7y,fly_5y_7y_10y,fly_7y_10y_15y,fly_10y_15y_20y,fly_15y_20y_30y
2016-01-20,20.96999999999998,1.500000000000057,0.4999999999999893,25.0,-8.999999999999986,8.999999999999986,-25.97000000000005,-7.059999999999889
2016-01-21,17.49999999999998,0.9999999999998899,0.5000000000000782,21.00000000000009,-4.000000000000092,4.000000000000092,-20.49999999999983,-13.50000000000016
2016-01-22,20.00000000000002,0.0,0.7500000000000284,21.40000000000004,-4.199999999999982,3.500000000000014,-21.49999999999999,-8.999999999999986
2016-01-25,19.50000000000003,1.949999999999985,-1.399999999999935,20.99999999999991,-4.499999999999993,3.070000000000128,-19.13999999999998,-10.42999999999985
2016-01-26,21.95999999999998,0.1800000000000246,0.8000000000000007,21.49999999999999,-4.999999999999893,5.499999999999972,-21.95999999999998,-6.579999999999941
2016-01-27,21.49999999999999,0.4999999999999893,-0.9999999999999787,21.00000000000009,-4.500000000000171,5.000000000000249,-21.00000000000009,-8.000000000000007
2016-01-28,21.50000000000007,0.1000000000001222,0.4499999999999282,20.50000000000001,-4.499999999999993,6.00000000000005,-22.50000000000014,-6.999999999999851
2016-01-29,24.50000000000001,2.500000000000036,-0.4999999999999893,20.00000000000011,-7.750000000000057,7.000000000000028,-18.99999999999995,-5.000000000000071
2016-02-01,24.50000000000001,2.500000000000036,-0.4999999999999893,20.00000000000011,-7.750000000000057,7.000000000000028,-18.99999999999995,-5.000000000000071
2016-02-02,23.50000000000003,2.000000000000046,1.999999999999957,18.09999999999992,-9.299999999999997,7.999999999999829,-19.99999999999993,-4.499999999999993
2016-02-03,22.99999999999995,2.000000000000046,0.9999999999999787,20.00000000000011,-7.000000000000028,4.999999999999893,-17.99999999999997,-6.00000000000005
2016-02-04,21.99999999999998,-0.06999999999992568,1.999999999999957,20.99999999999991,-8.000000000000007,5.969999999999942,-18.93999999999991,-6.02999999999998
2016-02-05,22.99999999999995,-3.000000000000025,1.999999999999957,19.99999999999993,-7.000000000000028,2.740000000000009,-14.9799999999999,-6.760000000000055
2016-02-08,21.0,-3.000000000000025,0.3000000000000114,20.50000000000001,-6.00000000000005,3.999999999999915,-17.99999999999997,-7.499999999999929
2016-02-09,22.99999999999995,-2.999999999999936,-0.4999999999999893,20.50000000000001,-6.00000000000005,4.000000000000092,-18.49999999999987,-4.500000000000171
2016-02-10,21.49999999999999,-1.500000000000057,-1.699999999999946,20.99999999999991,-5.999999999999872,3.999999999999915,-18.50000000000005,-6.00000000000005
