Tenor,spread_1m_2m,spread_1m_3m,spread_7m_8m,spread_8m_9m,spread_9m_10m,spread_10m_11m,spread_11m_1y,spread_1y_14m,fly_1m_2m_3m,fly_2m_3m_4m,fly_3m_4m_5m,fly_4m_5m_6m,fly_5m_6m_7m,fly_6m_7m_8m,fly_7m_8m_9m,fly_8m_9m_10m,fly_9m_10m_11m,fly_10m_11m_1y,fly_11m_1y_14m,fly_14m_2y_3y
2009-11-17,1.330000000000098,4.72999999999999,17.98999999999999,20.39000000000009,16.60999999999984,17.37000000000002,17.74000000000004,32.59000000000007,2.069999999999794,0.590000000000046,7.209999999999894,1.519999999999655,-3.529999999999589,8.800000000000097,2.400000000000091,-3.780000000000427,0.7600000000000051,0.3699999999998482,14.84999999999985,-47.81999999999975
2009-11-18,0.9499999999999176,3.619999999999912,18.94000000000009,20.52999999999994,16.72000000000011,17.89999999999985,17.96000000000006,32.74000000000008,1.719999999999899,2.000000000000313,7.229999999999848,0.4300000000000637,-3.430000000000177,10.04000000000005,1.589999999999847,-3.810000000000002,1.179999999999737,0.06000000000021544,14.78000000000002,-54.35000000000016
2009-11-19,1.259999999999906,4.170000000000051,19.61000000000013,20.32999999999987,16.55000000000015,17.98000000000002,17.6499999999999,32.41999999999994,1.650000000000063,2.489999999999881,6.820000000000093,-0.460000000000349,-3.26999999999984,11.12000000000002,0.7199999999997431,-3.779999999999717,1.429999999999865,-0.3299999999999415,14.77000000000004,-49.60999999999984
2009-11-23,0.8600000000001273,3.480000000000061,20.73,19.59,15.93,18.72000000000007,17.91,33.46999999999998,1.759999999999806,3.150000000000119,7.099999999999795,-1.849999999999952,-3.069999999999951,12.78000000000006,-1.13999999999983,-3.659999999999997,2.789999999999893,-0.8100000000002439,15.55999999999997,-53.69000000000028
2009-11-24,0.1800000000001134,2.749999999999986,20.91999999999992,18.89000000000003,15.36000000000008,19.0199999999999,17.94000000000011,33.46999999999998,2.389999999999759,2.919999999999945,7.280000000000086,-2.280000000000015,-2.919999999999945,13.3499999999998,-2.029999999999887,-3.529999999999944,3.659999999999997,-1.07999999999997,15.53000000000004,-39.30000000000007
2009-11-25,2.289999999999992,4.049999999999976,23.11999999999994,19.99999999999993,16.2700000000001,19.15999999999993,17.47000000000014,32.89999999999988,-0.5299999999998306,3.250000000000242,9.199999999999875,-3.059999999999974,-3.109999999999857,15.08000000000003,-3.119999999999834,-3.729999999999833,2.890000000000015,-1.689999999999614,15.42999999999957,-45.61999999999991
2009-11-26,1.159999999999961,4.770000000000074,24.29000000000006,20.09999999999987,16.37000000000004,19.89999999999998,17.84999999999997,32.98000000000005,2.45000000000033,2.899999999999636,9.580000000000055,-4.14999999999992,-3.330000000000055,15.68000000000005,-4.190000000000182,-3.729999999999833,3.529999999999944,-2.049999999999841,15.12999999999991,-47.46999999999986
2009-11-27,0.1200000000000756,4.340000000000011,25.03000000000011,19.89000000000001,16.18999999999993,20.12999999999998,17.70999999999994,34.04000000000007,4.100000000000037,3.049999999999997,9.530000000000172,-4.919999999999902,-3.300000000000125,16.45000000000039,-5.1400000000001,-3.699999999999903,3.940000000000055,-2.420000000000044,16.32999999999996,-48.19999999999993
2009-11-30,0.05000000000006111,6.109999999999971,25.15999999999998,20.00000000000011,16.27999999999989,19.81000000000002,17.07999999999998,36.18000000000006,6.009999999999849,0.1300000000000523,12.21999999999994,-5.949999999999989,-2.469999999999928,15.16999999999982,-5.160000000000053,-3.720000000000212,3.529999999999944,-2.730000000000032,19.10000000000025,-48.03999999999995
2009-12-01,1.370000000000005,6.900000000000084,24.51000000000008,19.4799999999999,15.84000000000003,19.6200000000001,16.61999999999999,34.23999999999996,4.160000000000252,1.719999999999899,9.919999999999973,-5.549999999999855,-1.269999999999882,14.16000000000004,-5.030000000000356,-3.640000000000043,3.780000000000072,-3.000000000000114,17.62000000000015,-59.70000000000013
