,sharpe,cagr,volatility,sortino,calmar,skew,kurtosis,max_drawdown,win_rate,daily_value_at_risk,breakeven
0.0,1.1945781022257191,0.045359742988618335,0.03773432520184449,1.766910193520527,,-0.06175473215758331,18.38985842485837,-0.06963789070347681,0.5627261761158022,-0.0037310059223406725,9.626014301875738e-06
0.025,0.8919991910747025,0.033252067909325556,0.03746045237975018,1.3033939039392934,,-0.09695676156887845,18.593859028443575,-0.07043846942470644,0.46401610468042276,-0.0037489057075677495,9.626014301875738e-06
0.05,0.5843157383041019,0.021282439102962014,0.0372277972775583,0.8429780178121743,,-0.13101647901303815,18.724462146817046,-0.07123845098972326,0.4604932058379467,-0.0037710763096697056,9.626014301875738e-06
0.07500000000000001,0.2724530942595353,0.009449307334296941,0.03703713665186475,0.3878631252641462,,-0.16401547314247683,18.776766603716435,-0.080932487996079,0.4544539506794162,-0.003797598213088315,9.626014301875738e-06
0.1,-0.042587701054665264,-0.0022488595201004546,0.036889121651041086,-0.059794754999995606,,-0.19607107576199578,18.747425313034984,-0.0966450869542359,0.45042778057372923,-0.003828538887238667,9.626014301875738e-06
0.125,-0.35974424132857497,-0.013813576657868865,0.03678426707966588,-0.49791180117499684,,-0.2273322950474083,18.63485418425961,-0.15004319071399808,0.4464016104680423,-0.0038639516741320818,9.626014301875738e-06
0.15000000000000002,-0.6779095526678114,-0.025246342534856137,0.03672294264594749,-0.9245750119391523,,-0.25797391124711805,18.439366357434995,-0.21873854123223746,0.4408656265727227,-0.003903874881468709,9.626014301875738e-06
0.17500000000000002,-0.9959507953567782,-0.03654863904716921,0.03670536653070483,-1.3381057335598512,,-0.28818903054030093,18.163218217304003,-0.29652620271832963,0.43583291394061396,-0.003948331116280801,9.626014301875738e-06
0.2,-1.312729158098759,-0.047721931711265375,0.036731601534859604,-1.7370665788224025,,-0.3181805368359274,17.810560357344674,-0.36658107152798625,0.4287871162556618,-0.003997326885751114,9.626014301875738e-06
0.225,-1.6271201424710717,-0.058767669842120895,0.0368015539626316,-2.1202252169207454,,-0.34815198751618065,17.3872944796499,-0.4300960202384182,0.4217413185707096,-0.004050852481494032,9.626014301875738e-06
0.25,-1.9380334008089697,-0.06968728672948832,0.0369149752864573,-2.4865169947268817,,-0.3782985526188722,16.900845168456804,-0.4872647331918252,0.41620533467539006,-0.0041088821520678205,9.626014301875738e-06
0.275,-2.2444313177418307,-0.080482199812275,0.037071466525098566,-2.835201635774293,,-0.4087985901195396,16.359862549228957,-0.5391067971394631,0.41016607951685957,-0.00417137455661693,9.626014301875738e-06
0.30000000000000004,-2.545345611482542,-0.09115381085104679,0.03727048515688693,-3.16586634548291,,-0.4398063839262789,15.773877150874107,-0.5858554393631177,0.4081529944640161,-0.004238273481194984,9.626014301875738e-06
0.325,-2.839891366412976,-0.10170350609868506,0.03751135429339274,-3.4783911193595674,,-0.47144645553909664,15.15293121633216,-0.6278696867287581,0.4016104680422748,-0.004309508789304014,9.626014301875738e-06
0.35000000000000003,-3.1272780790235277,-0.1121326564692241,0.03779327376141967,-3.7727700787662872,,-0.5038097112581814,14.507211024376929,-0.6656282642914978,0.3950679416205335,-0.004384997570166876,9.626014301875738e-06
0.375,-3.4068174873838393,-0.12244261770486697,0.03811533268742736,-4.049223191852324,,-0.5369515241139783,13.84670265539679,-0.699561565250232,0.3905385002516356,-0.004464645442675234,9.626014301875738e-06
0.4,-3.6779281421280205,-0.13263473054122366,0.03847652315019385,-4.308169480817796,,-0.5708916931717524,13.180889550453646,-0.7300565229316411,0.3839959738298943,-0.004548347970024402,9.626014301875738e-06
0.42500000000000004,-3.9401368483893027,-0.1427103208707724,0.038875754464293255,-4.550185319375676,,-0.6056160893020002,12.518504883455655,-0.7574609924280824,0.3809763462506291,-0.004635992139710704,9.626014301875738e-06
0.45,-4.1930772508586065,-0.15267069990456594,0.03931186767625151,-4.775990260071314,,-0.6410796974289202,11.867345968218967,-0.7820876911640396,0.3759436336185204,-0.004727457865565707,9.626014301875738e-06
0.47500000000000003,-4.436485940458529,-0.1625171643322172,0.039783649892998485,-4.9863413136751875,,-0.6772107060308121,11.234152369870621,-0.8042177427219157,0.3688978359335682,-0.004822619472413705,9.626014301875738e-06
0.5,-4.67019652813564,-0.17225099648015207,0.04028984811349779,-5.182011660117426,,-0.7139152747485732,10.624544637317815,-0.8241038638092759,0.3623553095118269,-0.004921347129250378,9.626014301875738e-06
