,Chile
sharpe,0.08259217030806601
cagr,0.00204925868647865
volatility,0.030367298473186987
sortino,0.11596152176760624
calmar,
skew,-0.10594126078141033
kurtosis,1.6534635580774877
max_drawdown,-0.05231320908394821
win_rate,0.49906015037593987
daily_value_at_risk,-0.0031365864022877272
breakeven,4.175711752135703e-05
