,China
2018-09-13,116.29529699556575
2018-09-14,116.40854433730617
2018-09-17,116.22334716830858
2018-09-18,116.24932374517174
2018-09-19,116.1288353252061
2018-10-09,116.44024080124038
2018-10-11,116.46253097058661
2018-10-12,116.45680953189364
2018-10-16,116.51344260071926
2018-10-17,116.65805076611555
2018-10-22,116.61097400882987
2018-10-30,116.775172618929
2018-10-31,116.7714759644937
2018-11-01,116.9664427403305
2018-11-05,116.84766062405568
2018-11-09,116.56078026608685
2018-11-19,116.259584501013
2018-11-22,116.511599241921
2018-11-23,116.63936661471097
2018-11-28,116.66170584831619
2018-11-29,116.68757363715949
2018-12-04,116.59053590297333
2018-12-05,116.72609071526443
2018-12-12,116.71223263417292
2018-12-13,116.67490356219778
2018-12-19,115.94759793134375
2018-12-20,115.99702912584611
2018-12-21,115.90406287835123
2019-01-02,115.64301821531393
2019-01-04,115.5970283906749
2019-01-07,116.08305215545155
2019-01-08,116.13631364494448
2019-01-09,116.36261003027475
2019-01-10,116.31643994726718
2019-01-11,116.15595324322206
2019-01-15,116.17844849009875
2019-01-16,116.0373614504714
2019-01-17,115.97926496370627
2019-01-22,115.90366522086968
2019-01-23,115.89944873580428
2019-01-24,115.6540130960858
2019-01-25,116.06090082274956
2019-01-29,115.3460119936006
2019-01-30,115.3251852648455
2019-01-31,115.36490718770543
2019-02-01,115.37040003651782
2019-02-11,115.20660250153199
2019-02-12,115.38292581756731
2019-02-13,115.00055311264714
2019-02-14,115.68841365185551
2019-02-15,115.35418732281796
2019-02-19,115.26850567766347
2019-02-20,115.35890351179197
2019-02-21,115.1081878525915
2019-02-22,115.20959473635786
2019-02-25,115.36250095533802
2019-02-26,114.94550442832355
2019-02-27,114.7987967157695
2019-02-28,114.55200708070035
2019-03-01,114.23725317306955
2019-03-04,114.19621067541374
2019-03-05,114.50646353774052
2019-03-06,114.53667797627043
2019-03-07,114.31926291724272
2019-03-08,114.70916481522212
2019-03-12,114.63022610317512
2019-03-13,114.47565579903691
2019-03-14,114.31809976663585
2019-03-15,113.83913289642148
2019-03-18,114.04779615339528
2019-03-21,114.21930258664761
2019-03-22,114.06181478547059
2019-03-26,114.01420076240541
2019-03-27,114.19685271043909
2019-03-28,113.84831427199667
2019-03-29,113.94362903470135
2019-04-01,114.18651706792295
2019-04-02,114.46803605619395
2019-04-03,113.76900947121061
2019-04-04,113.47404825585853
2019-04-08,114.21015768629302
2019-04-09,114.13475590921954
2019-04-10,114.22302171654921
2019-04-11,114.02924687474618
2019-04-16,114.30356492079954
2019-04-17,114.27306383484697
2019-04-22,114.03553546138106
2019-04-23,114.04900735000712
2019-04-24,113.87367685465483
2019-04-25,113.93952648522418
2019-04-26,113.76281275164939
2019-04-30,113.83606783766729
2019-05-06,113.8475379636714
2019-05-07,113.95994095144289
2019-05-08,114.33084678647506
2019-05-09,114.01321041879864
2019-05-10,113.958395155318
2019-05-15,113.96485227998741
2019-05-16,114.12115223207692
2019-05-17,113.80377992073869
2019-05-20,113.73868180614583
2019-05-21,114.09737484386977
2019-05-22,113.91239951405569
2019-05-23,113.73743433023853
2019-05-27,113.69999496007136
2019-05-28,113.6165829917531
2019-05-29,113.42653891288936
2019-05-30,113.45103842909626
2019-05-31,113.26142237105161
2019-06-03,113.74649482615142
2019-06-04,113.12697329580314
2019-06-05,114.00495922367159
2019-06-06,114.0201569818962
2019-06-11,114.35965376008737
2019-06-12,113.84729923245365
2019-06-13,113.9024543721656
2019-06-14,114.33540071692194
2019-06-17,114.55958340900958
2019-06-18,114.64360017826883
2019-06-19,114.501960190954
2019-06-20,112.7970201074588
2019-06-21,114.07205438581786
2019-06-27,114.21276555684476
2019-06-28,114.1881659674685
2019-07-01,114.14068701414708
2019-07-02,114.12554367362647
2019-07-03,114.20249875390533
2019-07-08,114.24716778308834
2019-07-09,114.29853996438968
2019-07-10,114.22730072054222
2019-07-15,114.46926677923781
2019-07-16,114.59028296312508
2019-07-17,114.5224200857397
2019-07-18,114.51165286409986
2019-07-19,114.44510748114551
2019-07-23,114.27520787469743
2019-07-24,114.53526968275618
2019-07-25,114.45922398247276
2019-07-26,114.39983353953241
2019-07-29,114.47486706234
2019-07-31,114.43929235735123
2019-08-01,114.59325016128813
2019-08-02,114.5254525815046
2019-08-05,114.37468875532517
2019-08-06,114.61571240635209
2019-08-07,114.5231111322871
2019-08-12,114.28962187022069
2019-08-13,114.28682759133895
2019-08-16,114.50724020436162
2019-08-21,114.52252958431342
2019-08-22,114.56667093012211
2019-08-23,114.51455307862719
2019-08-27,114.43423339329838
2019-08-28,114.4631375184971
2019-09-04,114.62354812006768
2019-09-05,114.50049156178126
2019-09-06,114.45623341260756
2019-09-25,114.71423967701585
2019-09-26,114.91492535504855
2019-09-27,114.92834432850589
2019-10-08,114.56206049287931
2019-10-09,114.57357824258231
2019-10-10,114.59187000668396
2019-10-11,114.34194546781188
2019-10-15,114.61780505596883
2019-10-16,114.569690219196
2019-10-17,114.54542213391872
2019-10-21,114.31163873400078
2019-10-22,114.54680696486008
2019-10-23,114.51615050356303
2019-10-25,114.27009908673101
2019-10-31,114.4244620305968
2019-11-04,114.12273317705002
2019-11-05,114.1418945193784
2019-11-07,113.89456856983576
2019-11-12,113.96577459163804
2019-11-13,114.03424372803369
2019-11-18,114.17133194736438
2019-11-26,113.98213407335103
2019-11-27,113.93291062938945
2019-12-03,113.89226332052964
2019-12-04,113.97948526953896
2019-12-12,114.20136401069479
2019-12-13,113.97798204201936
2019-12-20,114.0640593156339
2019-12-23,114.0132466369573
2019-12-24,113.90522253199774
2019-12-25,113.78837164309839
2019-12-31,114.06618040993328
2020-01-03,113.65216752111576
2020-01-06,113.76959866474445
2020-01-13,114.08240218626796
2020-01-14,114.00855367897658
2020-01-15,114.00735345672493
2020-01-17,113.56745886371668
2020-02-10,113.80498664252676
2020-02-11,114.16144376324269
2020-02-12,114.16079066250478
2020-02-26,112.9854641679656
2020-02-27,112.74480676461917
2020-02-28,112.77203817498756
2020-03-03,112.92113089956528
2020-03-04,112.80488624548117
2020-03-05,113.24626977213566
2020-03-06,112.93615935383781
2020-03-09,112.92541630892774
2020-03-11,113.1649454730209
2020-03-13,113.38359174795418
2020-03-16,113.27800139845053
2020-03-17,113.5015756212777
2020-03-18,113.81875774359646
2020-03-23,113.70866879356933
2020-03-24,113.92813688827208
2020-03-27,113.85074842825793
2020-04-01,113.06704195543156
2020-04-02,112.98598500274579
2020-04-03,112.92009416800374
2020-04-07,113.43700098504684
2020-04-14,113.8014543442126
2020-04-15,114.3649528522922
2020-04-17,114.88289068689576
2020-04-27,115.05858995245708
2020-04-28,115.48725584382194
2020-04-29,115.85854586079765
2020-04-30,115.81857802493852
2020-05-07,115.44417111800497
2020-05-08,115.30220122035324
2020-05-18,115.52048067910057
2020-05-19,115.39234452048619
2020-05-22,115.69697635699143
2020-05-25,115.42490565002265
2020-05-26,115.70912500549404
2020-05-27,115.68438375456675
2020-05-29,114.98968452195611
2020-06-04,116.40698952436695
2020-06-09,116.24377818823837
2020-06-11,115.62579704208768
2020-06-12,115.6830596143771
2020-06-15,116.12884868778164
2020-06-17,115.77134300988709
2020-06-22,115.91712399727953
2020-06-23,115.90773745307364
2020-06-24,115.51862418584031
2020-06-30,115.38052784047909
2020-07-02,115.76462994370115
2020-07-03,116.15240325777043
2020-07-08,116.22554348144662
2020-07-09,116.42728539029206
2020-07-10,116.14574322790898
2020-07-16,116.06485172196115
2020-08-03,116.22330946497593
2020-08-04,116.1504715064027
2020-08-17,116.2433746029113
2020-08-21,116.10266261263187
2020-08-24,116.2889936823147
2020-08-25,116.06840875784481
2020-08-26,115.99262464609859
2020-09-01,115.60667415600656
2020-09-02,115.54435154339401
2020-09-07,115.47038200635046
2020-09-10,115.34478867872815
2020-09-11,115.21799632318361
2020-09-16,115.34684805465942
2020-09-30,115.46274702443348
2020-10-30,115.88030905591056
2020-11-02,115.77025715901097
2020-11-03,115.79084780014894
2020-11-04,115.59548944809292
2020-11-05,115.6290445819705
2020-11-11,115.91896512762021
2020-11-12,115.73943214768228
2020-11-13,115.84679366726904
2020-11-26,115.37852436524052
2020-11-27,115.39765706238192
2020-11-30,115.5639294946583
2020-12-01,115.17650050286396
2020-12-08,115.459586547631
2020-12-09,115.37948246127077
2020-12-10,115.38224104872108
2020-12-11,115.35460563201205
2020-12-18,115.37172658459298
2020-12-21,115.53884177811273
2020-12-22,115.41215926969788
2020-12-24,115.0178632151844
2020-12-28,115.37381284850522
2020-12-30,115.62946221532438
2021-01-06,115.6787670880518
2021-01-07,115.53585725082543
2021-01-08,115.32315810094119
2021-01-12,115.21078433095357
2021-01-13,115.5684017046907
