,US
sharpe,0.32634849263170584
cagr,0.011474953011577416
volatility,0.03706691000507553
sortino,0.46567040227225737
calmar,
skew,-0.1584105173780577
kurtosis,18.7735123905578
max_drawdown,-0.07820273517944987
win_rate,0.45646703573225966
daily_value_at_risk,-0.0037927234968292665
breakeven,9.626014301875738e-06
