,India
2017-11-23,119.40318295961718
2017-11-24,119.29049317863996
2017-11-28,119.74937602487114
2017-11-29,119.8229343374829
2017-11-30,120.0277657042896
2017-12-04,120.0277657042896
2017-12-05,119.98418702187578
2017-12-06,119.89731013216422
2017-12-07,120.05122101659987
2017-12-08,119.92222001191637
2017-12-11,119.98189820622251
2017-12-12,120.04495364498572
2017-12-13,120.064518736748
2017-12-14,120.01976895626672
2017-12-15,120.20298620519321
2017-12-18,120.20298620519321
2017-12-21,120.16018525524682
2017-12-22,120.73342573669889
2017-12-27,120.69229139340135
2017-12-28,120.91299570952066
2017-12-29,120.87211855132742
2018-01-02,120.88735913973994
2018-01-03,121.02163828457924
2018-01-04,120.97983584037944
2018-01-05,121.05725929304427
2018-01-08,121.06710244004559
2018-01-09,121.13546923359893
2018-01-10,121.09299205828576
2018-01-11,120.86729673276848
2018-01-12,121.03615677744773
2018-01-15,121.21393380204853
2018-01-16,121.17149533425888
2018-01-17,121.330455274936
2018-01-19,121.330455274936
2018-01-22,121.330455274936
2018-01-23,121.28774855146855
2018-01-24,121.34100541090736
2018-01-29,121.02570819376123
2018-01-30,121.18095291494966
2018-01-31,121.19745647387286
2018-02-01,121.14754063909243
2018-02-02,121.13968401926965
2018-02-05,121.1029441170093
2018-02-06,121.03834259577701
2018-02-07,121.40446855235727
2018-02-08,121.35730004414339
2018-02-09,121.26673019682215
2018-02-12,121.25273236087048
2018-02-14,121.4275012423832
2018-02-15,121.4275012423832
2018-02-16,121.37927820047705
2018-02-20,121.59585986311964
2018-02-21,121.59585986311964
2018-02-22,121.59585986311964
2018-02-23,121.59585986311964
2018-02-26,121.59585986311964
2018-02-27,121.5443662308728
2018-02-28,121.67923503445179
2018-03-01,121.3628856578912
2018-03-05,121.72623859357918
2018-03-06,121.72623859357918
2018-03-07,121.67080172643028
2018-03-08,122.21107431495248
2018-03-09,122.21107431495248
2018-03-12,122.15612011910535
2018-03-13,122.41192490748278
2018-03-14,122.41192490748278
2018-03-15,122.41192490748278
2018-03-16,122.35466500361775
2018-03-19,122.80415251549192
2018-03-20,122.80415251549192
2018-03-21,122.80415251549192
2018-03-22,122.80415251549192
2018-03-23,122.80415251549192
2018-03-26,122.7475044615664
2018-03-27,123.10151297310455
2018-03-28,123.29660221774839
2018-04-03,123.38592930171781
2018-04-04,123.45602291053576
2018-04-05,123.45602291053576
2018-04-06,123.39120395579815
2018-04-09,123.20231121604381
2018-04-10,123.73156920257631
2018-04-11,123.61183274153582
2018-04-12,123.61183274153582
2018-04-13,123.54494375960205
2018-04-16,123.73281911743072
2018-04-17,123.73281911743072
2018-04-18,123.66577538544723
2018-04-19,123.85032876961752
2018-04-20,123.85032876961752
2018-04-23,123.85032876961752
2018-04-24,123.78289269975136
2018-04-25,123.96146067584128
2018-04-26,123.96146067584128
2018-04-27,123.96146067584128
2018-05-01,123.96146067584128
2018-05-02,123.96146067584128
2018-05-03,123.96146067584128
2018-05-04,123.89260909844543
2018-05-07,124.20254671881936
2018-05-08,124.6266203747771
2018-05-09,124.96798537677296
2018-05-10,124.96798537677296
2018-05-11,124.96798537677296
2018-05-14,124.90153138788784
2018-05-15,124.96247216373027
2018-05-16,125.044160433274
2018-05-17,125.044160433274
2018-05-18,125.044160433274
2018-05-21,125.044160433274
2018-05-22,125.044160433274
2018-05-23,124.97378835838555
2018-05-24,125.01362775616865
2018-05-25,124.94236660941856
2018-05-28,125.32806084994401
2018-05-29,125.32595686718018
2018-05-30,125.55323832860866
2018-05-31,125.55261514718991
2018-06-01,125.50229405617908
2018-06-04,125.50229405617908
2018-06-05,125.50229405617908
2018-06-06,125.42834718974886
2018-06-07,125.1864888606275
2018-06-08,125.17450555017547
2018-06-11,125.27406670794939
2018-06-12,125.07580490008654
2018-06-13,125.19929720508524
2018-06-14,125.14118445940092
2018-06-15,125.19568591229215
2018-06-18,125.28245213191522
2018-06-19,125.37613334628071
2018-06-20,125.67242928219893
2018-06-21,125.67242928219893
2018-06-22,125.5753880073131
2018-06-25,125.66606469862889
2018-06-26,125.6318894946182
2018-06-27,125.6046259739988
2018-06-28,125.50688028018699
2018-06-29,125.53095962444807
2018-07-02,125.53095962444807
2018-07-03,125.53095962444807
2018-07-04,125.53095962444807
2018-07-05,125.42751646646488
2018-07-06,125.79820821349404
2018-07-09,125.91623611463754
2018-07-10,125.93687777578546
2018-07-11,125.82136868200269
2018-07-12,125.71717602280965
2018-07-13,125.93504571104725
2018-07-16,125.81385542022403
2018-07-17,125.6008093452734
2018-07-18,125.75449828805083
2018-07-19,125.5804116333144
2018-07-20,125.76507430683057
2018-07-23,125.84841827504825
2018-07-24,125.84841827504825
2018-07-25,125.84841827504825
2018-07-26,125.84841827504825
2018-07-27,125.84841827504825
2018-07-30,125.84841827504825
2018-07-31,125.84841827504825
2018-08-01,125.73402967958091
2018-08-02,125.80310741163596
2018-08-03,125.80310741163596
2018-08-06,125.80310741163596
2018-08-07,125.67015254099658
2018-08-08,126.16237786480863
2018-08-09,126.027120818823
2018-08-10,125.56199543775448
2018-08-13,125.85945041610016
2018-08-14,126.2932410668648
2018-08-15,126.77960508627469
2018-08-16,127.59406845715748
2018-08-17,127.59406845715748
2018-08-20,127.59406845715748
2018-08-21,127.47365468051302
2018-08-22,127.71719270560095
2018-08-23,127.50845617134077
2018-08-24,127.63600504082959
2018-08-27,127.63600504082959
2018-08-28,127.63600504082959
2018-08-29,127.63600504082959
2018-08-30,127.50959949479814
2018-08-31,127.7824524691235
2018-09-03,127.66498065531509
2018-09-04,127.97790792810329
2018-09-05,128.57838437876669
2018-09-06,129.09799323948897
2018-09-07,128.36475296360035
2018-09-10,128.62374032709494
2018-09-11,128.78644502320842
2018-09-12,128.68726719241278
2018-09-14,129.22614484092225
2018-09-17,129.69416011959592
2018-09-18,129.51476265261095
2018-09-19,129.43523861731842
2018-09-20,129.75652927486706
2018-09-21,129.75652927486706
2018-09-24,129.75652927486706
2018-09-25,129.75652927486706
2018-09-26,129.66285068579552
2018-09-27,129.59535432046562
2018-09-28,129.1830713033193
2018-10-01,129.6640381470068
2018-10-03,129.6640381470068
2018-10-04,129.57288621562316
2018-10-05,129.51744664511432
2018-10-08,129.79922353244226
2018-10-09,129.79069042835297
2018-10-10,129.79069042835297
2018-10-11,129.79069042835297
2018-10-12,129.79069042835297
2018-10-15,129.79069042835297
2018-10-16,129.79069042835297
2018-10-17,129.69584708035168
2018-10-19,130.10553756147394
2018-10-22,129.97913374165663
2018-10-23,129.97913374165663
2018-10-24,129.97913374165663
2018-10-25,129.97913374165663
2018-10-26,129.88554834480038
2018-10-29,129.97274903508543
2018-10-30,129.8000119242391
2018-10-31,129.60057798750188
2018-11-01,129.79013147281123
2018-11-02,129.90091346373026
2018-11-05,129.90091346373026
2018-11-06,129.90091346373026
2018-11-08,129.90091346373026
2018-11-09,129.90091346373026
2018-11-12,129.90091346373026
2018-11-13,129.8044271183471
2018-11-14,129.8798610976221
2018-11-15,129.90534623365127
2018-11-16,129.83382320843788
2018-11-19,129.7325503486744
2018-11-20,129.943037830287
2018-11-22,130.11495888022358
2018-11-23,130.0905706083576
2018-11-26,130.28124868746912
2018-11-27,130.18104059268708
2018-11-28,130.1344769607777
2018-11-29,130.15372544496753
2018-11-30,130.05450658255214
2018-12-03,130.07523098741035
2018-12-04,130.37519765890787
2018-12-05,131.87194320166049
2018-12-06,131.24447330275945
2018-12-07,131.7236208671038
2018-12-10,132.4272753683436
2018-12-11,132.467823058321
2018-12-12,133.0455884625585
2018-12-13,133.0455884625585
2018-12-14,133.0455884625585
2018-12-17,133.0455884625585
2018-12-18,133.0455884625585
2018-12-19,133.0455884625585
2018-12-20,133.0455884625585
2018-12-21,133.0455884625585
2018-12-24,133.0455884625585
2018-12-25,133.0455884625585
2018-12-26,132.95272926513678
2018-12-27,133.44249867295954
2018-12-28,133.44249867295954
2018-12-31,133.35714704167356
2019-01-01,134.0782610443494
2019-01-02,133.9965784326081
2019-01-03,134.18773395883235
2019-01-04,134.11263361945515
2019-01-07,134.06586324612718
2019-01-08,134.547120346481
2019-01-09,134.4669489518219
2019-01-10,134.55312741842994
2019-01-11,134.73207300715825
2019-01-14,134.73207300715825
2019-01-15,134.73207300715825
2019-01-16,134.73207300715825
2019-01-17,134.73207300715825
2019-01-18,134.73207300715825
2019-01-21,134.73207300715825
2019-01-22,134.73207300715825
2019-01-23,134.73207300715825
2019-01-24,134.65387616922567
2019-01-25,134.56482806108167
2019-01-28,134.75764545329218
2019-01-29,134.72061847796544
2019-01-30,134.88268557503383
2019-01-31,134.81138326982415
2019-02-01,135.98600553760824
2019-02-04,135.98600553760824
2019-02-05,135.98600553760824
2019-02-06,135.98600553760824
2019-02-07,135.92124358909948
2019-02-08,135.97921640009122
2019-02-11,135.75518192550268
2019-02-12,136.05423150339152
2019-02-13,135.9902906956789
2019-02-14,136.09598386564812
2019-02-15,136.09598386564812
2019-02-18,136.09598386564812
2019-02-20,136.09598386564812
2019-02-21,136.09598386564812
2019-02-22,136.09598386564812
2019-02-25,136.09598386564812
2019-02-26,136.09598386564812
2019-02-27,136.09598386564812
2019-02-28,136.09598386564812
2019-03-01,136.09598386564812
2019-03-04,136.03678477615404
2019-03-05,137.02456856029127
2019-03-06,137.02456856029127
2019-03-07,137.02456856029127
2019-03-08,137.02456856029127
2019-03-11,137.02456856029127
2019-03-12,137.02456856029127
2019-03-13,137.02456856029127
2019-03-14,137.02456856029127
2019-03-15,137.02456856029127
2019-03-18,137.02456856029127
2019-03-19,137.02456856029127
2019-03-20,137.02456856029127
2019-03-21,137.02456856029127
2019-03-22,137.02456856029127
2019-03-25,137.02456856029127
2019-03-26,136.96276037101762
2019-03-27,137.0615052956185
2019-03-28,137.37243172035357
2019-03-29,137.4418788398518
2019-04-01,137.23571753269783
2019-04-02,137.16853965465813
2019-04-03,137.19732902888654
2019-04-04,137.19732902888654
2019-04-05,137.13016494995574
2019-04-08,136.74463931570835
2019-04-09,137.14399845760954
2019-04-10,137.07728433319244
2019-04-11,136.881776264933
2019-04-12,137.20821726921676
2019-04-15,137.1422063753447
2019-04-16,137.19372660634946
2019-04-17,137.26569899569787
2019-04-18,137.19981002623908
2019-04-19,136.7942929568761
2019-04-22,137.4182871511693
2019-04-23,137.35492317757289
2019-04-24,137.4372130578814
2019-04-25,137.41481946700972
2019-04-26,137.73554314773335
2019-04-29,137.8544696726026
2019-04-30,138.12762622588775
2019-05-01,138.21956044677012
2019-05-02,138.21956044677012
2019-05-03,138.21956044677012
2019-05-06,138.21956044677012
2019-05-07,138.21956044677012
2019-05-08,138.21956044677012
2019-05-09,138.14564845566844
2019-05-10,138.17734326139558
2019-05-13,138.11945034107256
2019-05-14,138.1563597726611
2019-05-15,138.18010219124307
2019-05-16,138.104592264712
2019-05-17,138.25518526633311
2019-05-20,138.66633055669936
2019-05-21,138.82518104101754
2019-05-22,138.82518104101754
2019-05-23,138.82518104101754
2019-05-24,138.82518104101754
2019-05-27,138.75041490273927
2019-05-28,138.93196330408188
2019-05-29,138.81593246455145
2019-05-30,138.7802472818569
2019-05-31,139.25549909434974
2019-06-03,139.28569753774383
2019-06-04,139.57866791012415
2019-06-06,139.48045538434067
2019-06-07,139.55612812562003
2019-06-10,139.55612812562003
2019-06-11,139.55612812562003
2019-06-12,139.55612812562003
2019-06-13,139.55612812562003
2019-06-14,139.55612812562003
2019-06-17,139.55612812562003
2019-06-18,139.55612812562003
2019-06-19,139.45653881278494
2019-06-20,139.4303220349394
2019-06-21,139.45790288627424
2019-06-24,139.45790288627424
2019-06-25,139.45790288627424
2019-06-26,139.45790288627424
2019-06-27,139.45790288627424
2019-06-28,139.45790288627424
2019-07-01,139.45790288627424
2019-07-02,139.35541232796632
2019-07-03,139.46229761654433
2019-07-04,139.51305250470793
2019-07-05,139.41065682680295
2019-07-08,139.7690139017504
