Date,7y8y,10y12y,25y30y,20y25y,3y4y5y,5y7y10y,10y12y15y,20y25y30y
2023-09-26,0.6208146559675591,0.7183570956916556,0.5453624755113523,0.5914872223855643,0.5638974610328069,0.6929922100400824,0.22729034011078353,0.2398108149088878
2023-09-27,0.626331284752242,0.7481552021205422,0.5555677019631036,0.6046273004164214,0.5650769579574818,0.6874317082285296,0.2276036704077402,0.23800429273148194
2023-09-28,0.625678470244066,0.7583042686903394,0.559158748330228,0.6088051939701967,0.5590544245885661,0.6807367645214875,0.22685595293401029,0.235694355524886
2023-09-29,0.6223288734879792,0.7511349370062753,0.5533174259929083,0.6026696571100483,0.5559568855948913,0.6775820051847505,0.2284366950604935,0.23359213149753194
2023-10-02,0.6189731506264498,0.7505131601021177,0.5505285750160345,0.6036051938712724,0.5502718938229187,0.67083827872414,0.2312012323018696,0.23400035204918024
2023-10-03,0.6137219976218649,0.7476928620226139,0.5471929433676083,0.6038041835450979,0.5447418730703908,0.6668810985442077,0.23338819885143627,0.2347072432602415
2023-10-04,0.6147065496487517,0.7589066520841878,0.5490677236581509,0.6160795540251024,0.5401226249355544,0.6610261890252338,0.235060835674982,0.23994274875461286
2023-10-05,0.6087689819559113,0.7562089836995498,0.5503986673525966,0.6228841020817925,0.535481044146217,0.6587747762205378,0.2420846604150582,0.24100199848471524
2023-10-06,0.6030049648773702,0.7534910443390768,0.5532398091635713,0.6306356331994463,0.5306068722673257,0.6542720623131828,0.24843657579220532,0.24148349649211015
2023-10-09,0.5976149254643898,0.7472349030009046,0.5480934901603026,0.624810918709685,0.5272300276281724,0.6496210966810384,0.24753157298281664,0.23936116062992105
2023-10-10,0.6097155539868295,0.7618744347076251,0.549853845596528,0.628167515699896,0.5233182285300697,0.643734582067723,0.24564323089710066,0.23804458453125432
2023-10-11,0.6317629455832874,0.7910043550138309,0.5542625391954699,0.6363744878780937,0.519988307035541,0.6380453626206576,0.2444871072216343,0.2378958398249397
