Tenor,spread_1m_3m,spread_10y_12y,spread_12y_15y,spread_15y_20y,fly_1m_3m_6m,fly_3m_6m_9m,fly_6m_9m_1y,fly_9m_1y_18m,fly_2y_3y_5y,fly_5y_7y_10y,fly_10y_12y_15y,fly_12y_15y_20y
2014-01-27,1.500000000000012,9.000000000000075,9.999999999999964,13.99999999999997,6.500000000000039,2.000000000000046,8.000000000000007,12.0000000000001,33.00000000000001,-10.99999999999994,0.9999999999999787,4.000000000000092
2014-01-28,-1.549999999999985,8.999999999999986,10.00000000000005,13.99999999999997,12.04999999999998,-0.9999999999999787,5.999999999999961,17.50000000000007,33.00000000000001,-4.000000000000092,1.000000000000156,3.999999999999915
2014-01-29,0.0,8.999999999999986,10.49999999999995,11.00000000000003,5.999999999999961,8.000000000000007,2.000000000000046,21.0,31.00000000000005,-5.999999999999872,1.500000000000057,0.5000000000000782
2014-01-30,3.500000000000014,8.000000000000007,11.50000000000002,12.5,5.499999999999972,12.00000000000001,-8.000000000000007,27.00000000000005,25.99999999999998,-2.999999999999936,3.500000000000014,0.9999999999999787
2014-01-31,4.000000000000004,8.000000000000007,10.50000000000004,9.999999999999964,5.499999999999972,8.499999999999996,0.4999999999999893,23.49999999999994,28.50000000000001,-4.000000000000092,2.500000000000036,-0.5000000000000782
2014-02-03,3.000000000000025,7.999999999999918,10.50000000000004,11.00000000000003,9.999999999999964,4.000000000000004,0.0,23.00000000000004,29.99999999999989,-1.999999999999957,2.500000000000036,0.5000000000000782
2014-02-04,158.43,8.000000000000007,8.999999999999986,11.50000000000002,-146.4300000000001,6.500000000000039,-2.500000000000036,23.49999999999994,29.99999999999989,-1.999999999999957,0.9999999999999787,2.500000000000036
2014-02-05,5.000000000000027,8.999999999999986,8.999999999999986,11.50000000000002,8.000000000000007,4.000000000000004,0.0,20.00000000000002,28.99999999999991,1.999999999999957,0.0,2.500000000000036
2014-02-06,4.000000000000004,8.999999999999986,8.999999999999986,14.99999999999995,8.499999999999996,3.499999999999925,-1.499999999999968,26.49999999999997,29.99999999999989,7.000000000000028,0.0,6.00000000000005
2014-02-07,5.499999999999972,9.999999999999964,9.000000000000075,14.99999999999995,2.500000000000036,8.000000000000007,-0.9999999999999787,22.50000000000005,29.00000000000009,4.999999999999893,-0.999999999999801,5.999999999999872
2014-02-10,2.99999999999998,8.999999999999986,9.000000000000075,14.99999999999995,5.999999999999961,6.00000000000005,-1.000000000000068,23.00000000000004,26.99999999999996,2.999999999999936,0.0,5.999999999999872
2014-02-11,2.000000000000002,8.999999999999986,9.500000000000064,14.49999999999996,6.99999999999994,4.999999999999982,1.500000000000057,22.99999999999995,25.00000000000018,4.999999999999893,0.5000000000000782,4.999999999999893
2014-02-12,2.000000000000002,8.999999999999986,8.999999999999986,15.00000000000004,8.999999999999986,2.500000000000036,1.499999999999968,23.00000000000004,27.50000000000004,2.999999999999936,0.0,6.00000000000005
2014-02-13,5.000000000000027,8.999999999999986,8.999999999999986,15.00000000000004,3.500000000000014,8.000000000000007,-3.000000000000025,25.99999999999998,25.50000000000008,3.000000000000114,0.0,6.00000000000005
2014-02-14,0.4999999999999893,9.499999999999975,8.999999999999986,15.00000000000004,13.00000000000008,0.4999999999999893,-3.000000000000025,29.0,25.0,5.499999999999972,-0.5000000000000782,6.00000000000005
