,DM,DM,EM LatAm,EM LatAm,EM LatAm,EM Asia,EM Asia
,US,EU,Mexico,Chile,Brazil,India,China
sharpe,0.3263484926317058,1.273045022790609,0.9929302616845422,0.082592170308066,1.1843045402230534,0.9104697201270432,0.9478387979193366
cagr,0.0114749530115774,0.043965046189955,0.0411713181903641,0.0020492586864786,0.052781852981306,0.0317837629256945,0.0362948315854143
volatility,0.0370669100050755,0.0342613565152897,0.0415038975078976,0.0303672984731869,0.04425846806879,0.0350453400062557,0.0383931075526015
sortino,0.4656704022722573,1.9663172419988817,1.4679854924341431,0.1159615217676062,2.036416755215376,1.2811195920225622,1.4356240833903609
calmar,,,,,,,
skew,-0.1584105173780577,0.0363177010308762,-0.0844133144166293,-0.1059412607814103,2.5938606113473974,-3.095433326548141,0.2233483632646298
kurtosis,18.7735123905578,8.930800947395259,4.393877072275516,1.6534635580774877,31.400520313165845,74.98289431391827,10.807999560222552
max_drawdown,-0.0782027351794498,-0.0683468687204286,-0.0490289030580651,-0.0523132090839482,-0.0682336360971642,-0.127654569746493,-0.0474248931470553
win_rate,0.4564670357322596,0.4521575984990619,0.5224153705397987,0.4990601503759398,0.5245158632056036,0.4836343115124153,0.5251798561151079
daily_value_at_risk,-0.0037927234968292,-0.0033769456998201,-0.0041369358306423,-0.0031365864022877,-0.0043778891211873,-0.0035046413784306,-0.0038337350769356
breakeven,9.626014301875738e-06,9.478985196413036e-06,5.7315589386059864e-05,4.175711752135703e-05,4.735780365721836e-05,1.920103966230616e-05,3.455533681501712e-05
