Group,Country, Fly
DM,US,0.09626014301875738
DM,EU,0.09478985196413037
EM LatAm,Mexico,0.5731558938605986
EM LatAm,Chile,0.41757117521357034
EM LatAm,Brazil,0.47357803657218356
EM Asia,India,0.1920103966230616
EM Asia,China,0.3455533681501712
