,0
2017-01-05,100.05321687867921
2017-01-06,100.06428800957383
2017-01-09,100.14799243857419
2017-01-10,100.27984442633486
2017-01-11,100.27731139500537
2017-01-12,100.53812482457931
2017-01-13,100.55897325459071
2017-01-16,100.58407750208293
2017-01-17,100.58918857880647
2017-01-18,100.51861629603245
2017-01-19,100.42602898382953
2017-01-20,100.4252954745394
2017-01-23,100.40185121379106
2017-01-24,100.38274558690108
2017-01-26,100.40358941760259
2017-01-27,100.39041739260091
2017-01-30,100.35999868705522
2017-01-31,100.43769227545336
2017-02-01,100.33998900055184
2017-02-02,100.42942824880771
2017-02-03,100.53484802804186
2017-02-06,100.4525148905486
2017-02-07,100.53443434006138
2017-02-08,100.54260000806113
2017-02-09,100.53972491275849
2017-02-10,100.55558823405941
2017-02-13,100.59560094777757
2017-02-14,100.64263249062013
2017-02-15,100.63876417952069
2017-02-16,100.68341399539473
2017-02-17,100.69901410237259
2017-02-20,100.69160571974092
2017-02-21,100.65651238609918
2017-02-22,100.64158342602471
2017-02-23,100.55907085449259
2017-02-24,100.52071823225914
2017-03-01,100.52286766363525
2017-03-02,100.57893750492613
2017-03-03,100.55166987088543
2017-03-06,100.5226203034552
2017-03-07,100.67932841299942
2017-03-08,100.69075501941671
2017-03-09,100.73000033952665
2017-03-10,100.65541900942453
2017-03-13,100.63890210405539
2017-03-14,100.703040358215
2017-03-15,100.67578046976658
2017-03-16,100.7081061052598
2017-03-17,100.72245914479605
2017-03-20,100.71108302746276
2017-03-21,100.71856846270369
2017-03-22,100.71704422200946
2017-03-23,100.85725839365665
2017-03-24,100.83669757467433
2017-03-27,100.84581475652519
2017-03-28,100.86903884700963
2017-03-29,100.85222995597847
2017-03-30,100.97608066486747
2017-03-31,101.02989066624363
2017-04-03,101.06498053293065
2017-04-04,101.1246486468195
2017-04-05,101.18910619066779
2017-04-06,101.31183404132477
2017-04-07,101.34349345125185
2017-04-10,101.391595653811
2017-04-11,101.4528860791887
2017-04-12,101.54482601021115
