,0
2017-03-28,100.03831501248524
2017-03-29,100.04661447236475
2017-03-30,100.09668025072442
2017-03-31,100.13132517380828
2017-04-03,100.14421882106133
2017-04-05,100.21133264829439
2017-04-06,100.25181013341624
2017-04-07,100.24422502509974
2017-04-10,100.23738510420073
2017-04-11,100.22396261417954
2017-04-12,100.20996581650228
2017-04-13,100.22737381176043
2017-04-17,100.20398934813959
2017-04-18,100.13617633189122
2017-04-19,100.20737459735784
2017-04-20,100.29847654762816
2017-04-21,100.26602678056516
2017-04-24,100.43154719916711
2017-04-25,100.47996732606886
2017-04-26,100.4859658229248
2017-04-27,100.50654899468445
2017-04-28,100.53151995573866
2017-05-01,100.51347416642729
2017-05-02,100.50816673726
2017-05-03,100.54663678221405
2017-05-04,100.55521596260759
2017-05-05,100.57699049866211
2017-05-08,100.57724119518296
2017-05-09,100.5663610208095
2017-05-10,100.57164630257374
2017-05-11,100.58965629494891
2017-05-12,100.62680468564874
2017-05-15,100.66847764798423
2017-05-16,100.66716262571025
2017-05-17,100.63190497833475
2017-05-18,100.70946787064005
2017-05-22,100.7688699862381
2017-05-23,100.78168932232738
2017-05-24,100.75788665508172
2017-05-25,100.83161541358967
2017-05-26,100.83526565683474
2017-05-30,100.84825074834005
2017-05-31,100.86422186575257
2017-06-01,100.94136217615355
2017-06-02,100.91433284641593
2017-06-05,100.91219897527375
2017-06-06,100.8405213977897
2017-06-07,100.83994557643523
2017-06-08,100.81050403880522
2017-06-09,100.82150317600677
2017-06-12,100.809376405258
2017-06-13,100.796340296462
2017-06-14,100.7299633547234
2017-06-15,100.74088012336225
2017-06-16,100.7221939066495
2017-06-19,100.74651638046919
2017-06-20,100.74881424244822
2017-06-21,100.74214416300971
2017-06-22,100.73980326524818
2017-06-23,100.7786766347571
2017-06-26,100.79162920455778
2017-06-27,100.81758214217874
2017-06-28,100.85331776334256
2017-06-29,100.83413376336534
2017-06-30,100.87800148009931
2017-07-03,100.94445772591334
2017-07-05,100.96219674583567
2017-07-06,100.93565085396344
2017-07-07,100.91302799866273
2017-07-10,100.90329561456606
2017-07-11,100.88942279747673
2017-07-12,100.87614646372396
2017-07-13,100.89262095539236
2017-07-14,100.85163542209459
2017-07-17,100.84175921288549
2017-07-18,100.83443180391632
2017-07-19,100.8822645141266
2017-07-20,100.8624758627143
2017-07-21,100.84706349034936
2017-07-24,100.88689750487303
2017-07-25,100.92096314700987
2017-07-26,100.86710777130877
2017-07-27,100.8627429523586
2017-07-28,100.85584915245187
2017-08-01,100.86204620854325
2017-08-02,100.8807589744347
2017-08-03,100.85273784479519
2017-08-04,100.88733291973094
2017-08-07,100.90000631477199
2017-08-08,100.92651413503337
2017-08-09,100.91026237863458
2017-08-10,100.87330857963768
2017-08-11,100.7824866021525
2017-08-14,100.87869180325302
2017-08-15,100.95109896350485
2017-08-16,100.90965089753243
2017-08-18,100.88606939893864
2017-08-21,100.84525413368111
2017-08-24,100.90017487433178
2017-08-28,100.84851595801416
2017-08-29,100.78242374530377
2017-08-30,100.84151048206509
2017-08-31,100.84301225103343
2017-09-01,100.91202877936625
2017-09-05,100.77154084993585
2017-09-07,100.77577028932654
2017-09-08,100.77970715601789
2017-09-11,100.925497248944
2017-09-13,100.95509943866665
2017-09-14,100.99755502162293
2017-09-15,100.96848214589717
2017-09-18,100.94116986730212
2017-09-19,100.93298367782091
2017-09-20,100.84513462326063
2017-09-22,100.82411892882344
2017-09-25,100.8356112237625
2017-09-26,100.79321134906256
2017-09-28,100.8263381645107
2017-10-03,100.75260623327615
2017-10-04,100.72396541499415
2017-10-05,100.68160807293498
2017-10-06,100.6470095541056
2017-10-10,100.64536667334801
2017-10-11,100.6364575807293
2017-10-12,100.6351698699602
2017-10-13,100.66482337307112
2017-10-16,100.55270335819688
2017-10-17,100.5374179409132
2017-10-18,100.55084574947159
2017-10-19,100.62435093473947
2017-10-20,100.55109487290481
2017-10-23,100.57471647203502
2017-10-24,100.53306988463446
2017-10-25,100.52538183323057
2017-10-26,100.48252544866992
2017-10-27,100.5251288175436
2017-10-30,100.54958867895851
2017-10-31,100.48384731001644
2017-11-01,100.44773715947134
2017-11-07,100.43206908826987
2017-11-08,100.42368916390951
2017-11-09,100.41915789340293
2017-11-10,100.34640458950265
2017-11-13,100.30229828486638
2017-11-14,100.34964974862679
2017-11-15,100.38480979590383
2017-11-16,100.31747373491469
2017-11-17,100.35443948248685
2017-11-20,100.27505509788305
2017-11-21,100.28325652952094
2017-11-22,100.38477767758411
2017-11-24,100.35478221717476
2017-11-27,100.35951703493085
2017-11-28,100.36349454530074
2017-11-29,100.32073227532005
2017-11-30,100.34824243388478
2017-12-01,100.37860484049604
2017-12-04,100.3906605530772
2017-12-05,100.41087506873778
2017-12-06,100.43923057593975
2017-12-07,100.48705270562223
2017-12-08,100.48669966477932
2017-12-11,100.48226969690108
2017-12-12,100.49230427280476
2017-12-18,100.49937691203101
2017-12-19,100.48227664688328
2017-12-20,100.48665743497418
2017-12-22,100.46103963914932
2017-12-26,100.46488689796274
2017-12-27,100.47422159026056
2017-12-28,100.4819496742107
2017-12-29,100.49445196631406
2018-01-02,100.46504384902491
2018-01-04,100.45382052927214
2018-01-05,100.44565735464579
2018-01-08,100.46332193033396
2018-01-09,100.45337195994482
2018-01-10,100.46227653290836
2018-01-11,100.47280756410761
2018-01-12,100.42183502910511
2018-01-16,100.40412619375203
2018-01-17,100.35378544005809
2018-01-18,100.40369771323307
2018-01-19,100.36901679316507
2018-01-22,100.36770898148903
2018-01-23,100.4090892158392
2018-01-24,100.39520031175546
2018-01-25,100.40085967468275
2018-01-26,100.34000363241601
2018-01-29,100.34292951661874
2018-01-30,100.31362914720619
2018-01-31,100.25577406616296
2018-02-01,100.23464803246168
2018-02-02,100.23143156108023
2018-02-05,100.51877609929191
2018-02-06,100.31196359089718
2018-02-07,100.31116687085154
2018-02-08,100.33157063992823
2018-02-09,100.37281994884411
2018-02-12,100.33995032155715
2018-02-13,100.3059997276201
2018-02-14,100.1592790746555
2018-02-15,100.10055040320944
2018-02-16,100.12237876057691
2018-02-20,100.07727805509361
2018-02-21,100.02704105119828
2018-02-22,100.05727444611905
2018-02-23,100.06358160776526
