,0
2018-08-17,100.01069320841141
2018-08-20,100.13341371165882
2018-08-21,100.14438027873331
2018-08-22,100.12810649801229
2018-08-23,100.1381160890522
2018-08-24,100.11910675231354
2018-08-27,100.07044717451126
2018-08-28,100.08896058462572
2018-08-29,100.11961216953826
2018-08-30,100.15753854241176
2018-08-31,100.16436177751282
2018-09-03,100.16145957575495
2018-09-04,100.16972102996272
2018-09-05,100.28015212929688
2018-09-06,100.23078697474142
2018-09-07,100.23021729178751
2018-09-10,100.25188102231799
2018-09-11,100.19785793598766
2018-09-12,100.15279907984869
2018-09-13,100.12018143683133
2018-09-14,100.04677892988269
2018-09-20,100.03914924890563
2018-09-21,100.02741331830352
2018-09-24,99.98065127171219
2018-09-25,99.92621614321257
2018-09-26,99.92110314257351
2018-09-27,99.99287128692488
2018-09-28,100.07844572538754
2018-10-01,100.10609036688365
2018-10-02,100.11451750674215
2018-10-03,100.10365942992728
2018-10-04,100.00310637020311
2018-10-05,99.89235876655684
2018-10-08,99.93343602554876
2018-10-09,99.99012509373763
2018-10-10,99.9533066383729
2018-10-11,99.9053781502258
2018-10-12,99.91422403912017
2018-10-17,100.0209435006961
2018-10-18,100.05382952561814
2018-10-19,100.15174414667032
2018-10-22,100.13610796179182
2018-10-23,100.15191015761577
2018-10-24,100.20411267418314
2018-10-29,100.2372461475989
2018-10-30,100.27277489067743
2018-10-31,100.32367037938205
2018-11-05,100.2788500982414
2018-11-06,100.27929956327522
2018-11-07,100.26892253540774
2018-11-08,100.2160596039471
2018-11-09,100.23574427631156
2018-11-12,100.2461084393401
2018-11-13,100.2797380355236
2018-11-14,100.32231709000669
2018-11-15,100.47493551631331
2018-11-16,100.46475188683868
2018-11-19,100.57604958645656
2018-11-20,100.59019282732682
2018-11-21,100.58437186947886
2018-11-22,100.58433898493455
2018-11-23,100.61375035815325
2018-11-26,100.65569126309526
2018-11-27,100.68247633511128
2018-11-28,100.65857550674417
2018-11-29,100.65394402544618
2018-11-30,100.66524510365804
2018-12-03,100.69444543158201
2018-12-04,100.77334633781156
2018-12-05,100.68382354158733
2018-12-06,100.76151057831694
2018-12-07,100.75964790504948
2018-12-10,100.67330626891795
2018-12-11,100.65794373873844
2018-12-12,100.62422701541267
2018-12-13,100.66363170095892
2018-12-14,100.76226936751296
2018-12-17,100.8164036861169
2018-12-18,100.86130914468299
2018-12-19,100.83649822234761
2018-12-20,100.93247313890201
2018-12-21,100.95599432453363
2018-12-24,100.94535765722499
2018-12-26,100.95325293502215
2018-12-27,101.02029724940297
2018-12-28,101.0020984831682
2019-01-02,101.04738403556168
2019-01-03,101.11907842544396
2019-01-04,101.06289592497357
2019-01-07,101.02320443870241
2019-01-08,101.06317483608665
2019-01-09,101.03525245087187
2019-01-10,100.93242789980886
2019-01-11,100.94609745589057
2019-01-14,100.94953717309185
2019-01-15,100.92198976522661
2019-01-16,100.92510618468653
2019-01-17,100.93492844094374
2019-01-18,100.88048422786325
2019-01-21,100.86162854283404
2019-01-22,100.92829893129698
2019-01-23,100.92778574024337
2019-01-24,101.02797593356443
