,sharpe,cagr,volatility,sortino,calmar,skew,kurtosis,max_drawdown,win_rate,daily_value_at_risk,breakeven
0.0,2.095113988348107,0.020392214438476275,0.009657826132082999,4.918846881856123,,13.477260160388122,400.678895076582,-0.005028488014707344,0.55662100456621,-0.0009204110601510673,4.925909573257279e-05
0.025,1.9914872719918837,0.019346277837417603,0.009645297266111028,4.636237021485707,,13.5055456571566,402.24582319632515,-0.005073905102918608,0.54922515952598,-0.0009231833444246644,4.925909573257279e-05
0.05,1.8875316416284664,0.018301405980951868,0.009633071283525162,4.35722792432022,,13.532757460682886,403.77129433747143,-0.0051193205572617195,0.5428441203281678,-0.0009259870122750198,4.925909573257279e-05
0.07500000000000001,1.7832554472336408,0.017257597792630808,0.009621149338983845,4.0818084868388285,,13.558876973849577,405.25440284397786,-0.005164734377780977,0.5382862351868732,-0.0009288221833432835,4.925909573257279e-05
0.1,1.6786671956708836,0.01621485219710439,0.009609532564089973,3.8099499948472393,,13.5838859224275,406.69425751511943,-0.005210146564518681,0.5337283500455788,-0.0009316889748816424,4.925909573257279e-05
0.125,1.573775548166958,0.015173168120083957,0.009598222066888446,3.541646067377952,,13.607766374329447,408.0899826500303,-0.005718556594993984,0.528714676390155,-0.0009345875017013352,4.925909573257279e-05
0.15000000000000002,1.4685893176332594,0.014132544488369536,0.009587218931370508,3.2769017949114203,,13.63050075878693,409.44071908947905,-0.0066177305916843565,0.5278030993618961,-0.0009375178761212371,4.925909573257279e-05
0.17500000000000002,1.3631174658284573,0.013092980229837847,0.009576524216983661,3.015720948594595,,13.652071885403439,410.745625252391,-0.007516097872401595,0.5218778486782133,-0.000940480207917097,4.925909573257279e-05
0.2,1.257369100364938,0.012054474273436755,0.009566138958150588,2.7581005183059695,,13.672462963059948,412.0038781654531,-0.008437693280222813,0.5127620783956244,-0.0009434746042717059,4.925909573257279e-05
0.225,1.1513534715619829,0.01101702554919659,0.009556064163793567,2.5040350715024853,,13.691657618635055,413.21467448366457,-0.009363064230617835,0.5086599817684594,-0.0009465011697255851,4.925909573257279e-05
0.25,1.045079969143543,0.009980632988217053,0.00954630081686924,2.253519057280147,,13.709639915506427,414.3772314997631,-0.010287578153277521,0.5027347310847766,-0.0009495600061288162,4.925909573257279e-05
0.275,0.9385581187863452,0.00894529552267298,0.009536849873910168,2.0065469211545293,,13.726394371804435,415.4907881407642,-0.011885115676223745,0.4990884229717411,-0.0009526512125935085,4.925909573257279e-05
0.30000000000000004,0.8317975785170628,0.007911012085813907,0.009527712264576754,1.763111603779795,,13.741905978378256,416.5546059491952,-0.013729167185034807,0.49407474931631723,-0.0009557748854473879,4.925909573257279e-05
0.325,0.7248081349625283,0.006877781611956069,0.009518888891218115,1.5232015791855211,,13.75616021644343,417.56797004724496,-0.01594237686983746,0.48951686417502277,-0.0009589311181883007,4.925909573257279e-05
0.35000000000000003,0.617599699455676,0.005845603036485514,0.009510380628443366,1.2868036754540386,,13.7691430748793,418.5301900817583,-0.018150637257458913,0.4854147675478578,-0.000962120001439781,4.925909573257279e-05
0.375,0.5101823039995016,0.0048144752958627635,0.00950218832270263,1.0539030141840677,,13.780841067136327,419.44060114781126,-0.020353959377537145,0.4804010938924339,-0.0009653416229076291,4.925909573257279e-05
0.4,0.4025660970911071,0.00378439732760949,0.009494312791880653,0.8244831030464177,,13.791241247729593,420.29856468928085,-0.022552354235243266,0.47447584320875114,-0.0009685960673378365,4.925909573257279e-05
0.42500000000000004,0.29476133941260196,0.0027553680703200634,0.009486754824899449,0.5985279768610237,,13.800331228274272,421.1034693738837,-0.02474583281127629,0.4699179580674567,-0.0009718834164753667,4.925909573257279e-05
0.45,0.1867783993878876,0.001727386463651781,0.009479515181335062,0.3760199256647251,,13.808099193043528,421.85473194130316,-0.027085300391861078,0.4635369188696445,-0.0009752037490244839,4.925909573257279e-05
0.47500000000000003,0.07862774861325454,0.0007004514483273105,0.009472594591044953,0.15693923784746133,,13.814533914006716,422.55179802205384,-0.029485421079043395,0.4585232452142206,-0.0009785571406101259,4.925909573257279e-05
0.5,-0.02968004283654597,-0.0003254380338683083,0.009465993753808952,-0.05873451575881362,,13.819624765318425,423.19414292518405,-0.03187963848577757,0.45487693710118504,-0.0009819436637407094,4.925909573257279e-05
