,0
2016-04-04,99.98859336065041
2016-04-05,100.01452756991299
2016-04-06,100.02802444737877
2016-04-07,100.05407761677456
2016-04-08,100.05580611078673
2016-04-11,100.06874568509639
2016-04-12,100.11640080256079
2016-04-13,100.1117970912318
2016-04-14,100.13393703616185
2016-04-15,100.10594515616886
2016-04-18,100.10945917157098
2016-04-19,100.11343453956054
2016-04-20,100.10091635600371
2016-04-21,100.1570295929418
2016-04-22,100.15783272182479
2016-04-25,100.18892534315714
2016-04-26,100.22531353391513
2016-04-27,100.2049298593042
2016-04-28,100.21248442162907
2016-04-29,100.26492381634836
2016-05-02,100.26336066014412
2016-05-03,100.26662297227229
2016-05-04,100.2893273762605
2016-05-05,100.2585369775856
2016-05-06,100.28900318725398
2016-05-09,100.30359978725245
2016-05-10,100.30458968865514
2016-05-11,100.29077795008858
2016-05-12,100.31759099642785
2016-05-13,100.31924663413778
2016-05-16,100.33680295924525
2016-05-17,100.34296071285492
2016-05-18,100.36401053684388
2016-05-19,100.38156411909691
2016-05-20,100.3867369858048
2016-05-23,100.40264695024979
2016-05-24,100.40546003796533
2016-05-25,100.41777279225226
2016-05-26,100.40093091707429
2016-05-27,100.40758061855615
2016-05-30,100.4228310387286
2016-05-31,100.43056655390494
2016-06-01,100.42559082515272
2016-06-02,100.4359921565582
2016-06-03,100.42479275561492
2016-06-06,100.42446395100426
2016-06-07,100.43601853106274
2016-06-08,100.44699320666885
2016-06-09,100.44799800161076
2016-06-10,100.4454562351315
2016-06-13,100.44924490852532
2016-06-14,100.41768741869956
2016-06-15,100.39879233322297
2016-06-16,100.38817731538276
2016-06-17,100.3824775699492
2016-06-20,100.4113082584479
2016-06-21,100.43362749722455
2016-06-22,100.44723523222719
2016-06-23,100.5036293777412
2016-06-24,100.56453492682382
2016-06-27,100.51623758773968
2016-06-28,100.55658181491198
2016-06-29,100.56754446251955
2016-06-30,100.59336158927363
2016-07-01,100.6188975074415
2016-07-04,100.62486636077004
2016-07-05,100.59754446107792
2016-07-06,100.6177402117654
2016-07-07,100.6218171566309
2016-07-08,100.57445008629999
2016-07-11,100.62167107042801
2016-07-12,100.70147838828274
2016-07-13,100.70774124409836
2016-07-14,100.75998567829474
2016-07-15,100.80817181951996
2016-07-18,100.80029476062255
2016-07-19,100.81477890513098
2016-07-20,100.84740148094565
2016-07-21,100.85354502337076
2016-07-22,100.88827507667062
2016-07-25,100.90062418038048
2016-07-26,100.88957546741828
2016-07-27,100.85186428561002
2016-07-28,100.88131197111024
2016-07-29,100.88943796133441
2016-08-01,100.88842457559612
2016-08-02,100.88092030163524
2016-08-03,100.87265351798547
2016-08-04,100.88918565947999
2016-08-05,100.87529490858371
2016-08-08,100.86464321725963
2016-08-09,100.87939702275406
2016-08-10,100.8871654205093
2016-08-11,100.93405638233297
2016-08-12,100.97622012912073
2016-08-15,100.96747424414745
2016-08-16,100.9731978274091
2016-08-17,100.97029825976978
2016-08-18,100.98402336199945
2016-08-19,100.96696468931125
2016-08-22,100.98731099800618
2016-08-23,100.9848915289102
2016-08-24,100.9746727105707
2016-08-25,100.96701367155188
2016-08-26,100.9094650552899
2016-08-29,100.96839417825029
2016-08-30,100.97348181208675
2016-08-31,100.97764657729947
2016-09-01,100.97603548522673
2016-09-02,100.9554024748045
2016-09-05,100.97689047308585
2016-09-06,100.9589352621245
2016-09-07,100.97986505190453
2016-09-08,100.99966945207169
2016-09-09,101.06023607422392
2016-09-12,101.07528436677431
2016-09-13,101.06649802178522
2016-09-14,101.09396518404094
2016-09-15,101.09211222010477
2016-09-16,101.09150922567154
2016-09-19,101.09782062025164
2016-09-20,101.12053777107005
2016-09-21,101.1107698370038
2016-09-22,101.16955986691474
2016-09-23,101.17745238064389
2016-09-26,101.18520232694381
2016-09-27,101.21767124436998
2016-09-28,101.21739864735997
2016-09-29,101.23302590718892
2016-09-30,101.25213758061065
2016-10-03,101.26339077229443
2016-10-04,101.26077599029588
2016-10-05,101.31291480242672
2016-10-06,101.31684422261516
2016-10-07,101.30326597345076
2016-10-10,101.28870277628846
2016-10-11,101.29575160765391
2016-10-12,101.29912021690606
2016-10-13,101.34766437774385
2016-10-14,101.33369649109633
2016-10-17,101.35403548109456
2016-10-18,101.38283272302708
2016-10-19,101.376116861032
2016-10-20,101.36429189151926
2016-10-21,101.33644418481558
2016-10-24,101.32400185438118
2016-10-25,101.30804750108437
2016-10-26,101.29735721549946
2016-10-27,101.26481085322183
2016-10-28,101.27407340699901
2016-10-31,101.27362396579534
2016-11-01,101.27268110839836
2016-11-02,101.32189979669393
2016-11-03,101.26127045409463
2016-11-04,101.28823508801312
2016-11-07,101.2672003723197
2016-11-08,101.24430619589941
2016-11-09,101.20733687382659
2016-11-10,101.26631072876489
2016-11-11,101.23368807170279
2016-11-14,101.18029727486115
2016-11-15,101.19552617559704
2016-11-16,101.19157513158947
2016-11-17,101.20860617231502
2016-11-18,101.23529051049451
2016-11-21,101.23025010223121
2016-11-22,101.28158537145883
2016-11-23,101.283953177927
2016-11-24,101.29805693520872
2016-11-25,101.3111684305971
2016-11-28,101.30462321019952
2016-11-29,101.30431178358559
2016-11-30,101.31097307478258
2016-12-01,101.37277658010487
2016-12-02,101.3444387568076
2016-12-05,101.3819499075456
2016-12-06,101.47172276231578
2016-12-07,101.46857875932851
2016-12-08,101.4272475623577
2016-12-09,101.36999896514405
2016-12-12,101.43025057677397
2016-12-13,101.41834552535597
2016-12-14,101.4081066896056
2016-12-15,101.40730072178256
2016-12-16,101.41698126919059
2016-12-19,101.39187395856098
2016-12-20,101.41871778367396
2016-12-21,101.42614738414959
2016-12-22,101.46265722679179
2016-12-23,101.45166285478973
2016-12-27,101.37858167184595
2016-12-28,101.46346839426295
2016-12-29,101.45469381095087
2016-12-30,101.45890003476158
2017-01-02,101.49036277390344
2017-01-03,101.54932293184085
2017-01-04,101.58648854559868
2017-01-05,101.5764131762267
2017-01-06,101.57793683474445
2017-01-09,101.57500085726082
2017-01-10,101.56879766390507
2017-01-11,101.57707288466122
2017-01-12,101.58957641149557
2017-01-13,101.57546898600745
2017-01-16,101.59467308573788
2017-01-17,101.57523056396704
2017-01-18,101.52288574831545
2017-01-19,101.50644199929184
2017-01-20,101.48726230908747
2017-01-23,101.54048078371983
2017-01-24,101.50595737784111
2017-01-25,101.44098383844806
2017-01-26,101.41329079759944
2017-01-27,101.4285406614163
2017-01-30,101.43828051733652
2017-01-31,101.44290725317586
2017-02-01,101.4417771180766
2017-02-02,101.47989476612116
2017-02-03,101.50099885021915
2017-02-06,101.57505997471863
2017-02-07,101.5430621000777
2017-02-08,101.6055125515029
2017-02-09,101.54774419920278
2017-02-10,101.54528852524393
2017-02-13,101.52887268227775
2017-02-14,101.50341629626114
2017-02-15,101.51210762046092
2017-02-16,101.52906693411634
2017-02-17,101.58518507504799
2017-02-20,101.58047524408079
2017-02-21,101.58911849112036
2017-02-22,101.56941138837101
2017-02-23,101.62204455208837
2017-02-24,101.63770695609075
2017-02-27,101.62492385567106
2017-02-28,101.649876274379
2017-03-01,101.62892004287627
2017-03-02,101.56923533155214
2017-03-03,101.4539132569659
2017-03-06,101.43540786948775
2017-03-07,101.48220442819724
2017-03-08,101.42769124649409
2017-03-09,101.2679150720109
2017-03-10,101.12963880710512
2017-03-13,101.19097144602777
2017-03-14,101.23884613341107
2017-03-15,101.2829388669527
2017-03-16,101.2550517238157
2017-03-17,101.24683634118598
2017-03-20,101.2164858985862
2017-03-21,101.17990428001158
2017-03-22,101.23187917057297
2017-03-23,101.20331326137237
2017-03-24,101.20293889112939
2017-03-27,101.2480049374401
2017-03-28,101.3083008084956
2017-03-29,101.39546435299604
2017-03-30,101.44809133259425
2017-03-31,101.43954114433755
2017-04-03,101.51152124592684
2017-04-04,101.5140576361939
2017-04-05,101.52956225919965
2017-04-06,101.52744790811529
2017-04-07,101.53420442379768
2017-04-10,101.53187841309497
2017-04-11,101.52913165048705
2017-04-12,101.55016809976986
2017-04-13,101.53955766519115
2017-04-18,101.55966853636325
2017-04-19,101.5842570452979
2017-04-20,101.60710513588222
2017-04-21,101.63470616682572
2017-04-24,101.62521936399955
2017-04-25,101.59026748313093
2017-04-26,101.5834684796945
2017-04-27,101.61363185086569
2017-04-28,101.64155273796693
2017-05-02,101.60553286061405
2017-05-03,101.58030160126475
2017-05-04,101.64070727433361
2017-05-05,101.6302547774727
2017-05-08,101.64927007660755
2017-05-09,101.66462918708126
2017-05-10,101.64017173277611
2017-05-11,101.64493987916259
2017-05-12,101.65058808522949
2017-05-15,101.66063488266349
2017-05-16,101.66363752466059
2017-05-17,101.6971809488614
2017-05-18,101.7281299366654
2017-05-19,101.73303288580924
2017-05-22,101.72012015552122
2017-05-23,101.71671773146329
2017-05-24,101.72023152328211
2017-05-25,101.71714674357533
2017-05-26,101.70230585869417
2017-05-29,101.70709672914468
2017-05-30,101.70221485273127
2017-05-31,101.6986949202025
2017-06-01,101.70245912717233
2017-06-02,101.7123215274462
2017-06-05,101.72509581035686
2017-06-06,101.70910228789793
2017-06-07,101.72121498365989
2017-06-08,101.70215365209864
2017-06-09,101.68412413050085
2017-06-12,101.66627878106489
2017-06-13,101.66393646556288
2017-06-14,101.67381385162612
2017-06-15,101.68741365564298
2017-06-16,101.67459854672265
2017-06-19,101.68038409729203
2017-06-20,101.66480162619575
2017-06-21,101.69084479019361
2017-06-22,101.69539820718452
2017-06-23,101.73049994918249
2017-06-26,101.74747948030391
2017-06-27,101.7969215820283
2017-06-28,101.81281878697015
2017-06-29,101.84672749103096
2017-06-30,101.85424012713888
2017-07-03,101.86305393977626
2017-07-04,101.87409771731988
2017-07-05,101.87268988828768
2017-07-06,101.80056721365938
2017-07-07,101.81098928398838
2017-07-10,101.83216244205953
2017-07-11,101.82549530263074
2017-07-12,101.83874964484394
2017-07-13,101.83447436774497
2017-07-14,101.81890645013219
