,sharpe,cagr,volatility,sortino,calmar,skew,kurtosis,max_drawdown,win_rate,daily_value_at_risk,breakeven
0.0,0.9017107542009023,0.007975496917285385,0.008853361454209584,1.2817138170305358,,-0.9530757200801129,13.375629534401353,-0.020019324015803974,0.5282485875706214,-0.0008856709952165587,3.830025603944475e-05
0.025,0.8428257380819225,0.007447696928890135,0.008850428026323852,1.1945216731206052,,-0.9612459746576894,13.41072020002281,-0.020046821710208662,0.5249529190207156,-0.0008874456271828933,3.830025603944475e-05
0.05,0.7838861424564111,0.006920170643719414,0.00884766990705085,1.107756413408134,,-0.9693587272757348,13.445101212038042,-0.02007431877896193,0.5230696798493408,-0.0008892384239332917,3.830025603944475e-05
0.07500000000000001,0.7248954073545291,0.006392917921194785,0.008845087260387328,1.0214186845144992,,-0.9774141204670135,13.478763207924144,-0.020116758417201508,0.5216572504708098,-0.0008910494024604432,3.830025603944475e-05
0.1,0.6658569881963078,0.005865938620814415,0.008842680240082106,0.935510504222972,,-0.9854123162947197,13.511697149316722,-0.02016703357430727,0.519774011299435,-0.0008928785786951935,3.830025603944475e-05
0.125,0.606774354797816,0.005339232602142863,0.008840448989590393,0.8500341585394686,,-0.9933534961623413,13.543894328573503,-0.020217306547349656,0.5174199623352166,-0.0008947259675018102,3.830025603944475e-05
0.15000000000000002,0.5476509903681857,0.004812799724825068,0.008838393642031327,0.7649918719916683,,-1.0012378606092756,13.57534637506488,-0.020267577336411824,0.5164783427495292,-0.0008965915826735529,3.830025603944475e-05
0.17500000000000002,0.4884903904946344,0.004286639848565921,0.008836514320148514,0.6803856737101095,,-1.0090656290903468,13.606045261176236,-0.02031784594157582,0.513653483992467,-0.0008984754369286481,3.830025603944475e-05
0.2,0.42929606212262394,0.003760752833148251,0.00883481113627321,0.5962175361678593,,-1.0168370397414153,13.635983308023592,-0.02116153999268111,0.5112994350282486,-0.0009003775419064076,3.830025603944475e-05
0.225,0.3700715225252595,0.003235138538429716,0.008833284192291402,0.5124893065824662,,-1.0245523491304867,13.665153190864741,-0.02245572455086564,0.5084745762711864,-0.0009022979081638455,3.830025603944475e-05
0.25,0.3108202982655453,0.0027097968243277037,0.008831933579612814,0.42920266046460703,,-1.0322118319947162,13.693547944218194,-0.02374820634262187,0.5051789077212806,-0.000904236545172496,3.830025603944475e-05
0.275,0.25154592415486376,0.002184727550843979,0.008830759379143809,0.3463591680714682,,-1.0398157809628923,13.721160966645575,-0.025038987597356233,0.5023540489642184,-0.0009061934613155352,3.830025603944475e-05
0.30000000000000004,0.1922519422015075,0.0016599305780438112,0.008829761661263612,0.263960392127389,,-1.047364506265642,13.747986025242257,-0.026328070541592696,0.4952919020715631,-0.0009081686638853908,3.830025603944475e-05
0.325,0.13294190055764854,0.0011354057660653005,0.008828940485802605,0.18200798734008408,,-1.0548583354309198,13.774017259783962,-0.027615457398933674,0.4929378531073446,-0.0009101621590814457,3.830025603944475e-05
0.35000000000000003,0.07361935246004461,0.0006111529751176015,0.008828295902024752,0.10050392367648768,,-1.0622976129683424,13.799249186555697,-0.028901150390095665,0.4919962335216573,-0.0009121739520082334,3.830025603944475e-05
0.375,0.01428785516724746,8.71720654813668e-05,0.00882782794861277,0.019450127375111415,,-1.0696827000388944,13.823676701833763,-0.03018515173290781,0.4896421845574388,-0.0009142040466739137,3.830025603944475e-05
0.4,-0.04504903110478198,-0.00043653710249047517,0.008827536653656463,-0.06115149799214132,,-1.0770139741146152,13.847295085044722,-0.03146746364229325,0.4872881355932203,-0.0009162524459890303,3.830025603944475e-05
0.42500000000000004,-0.10438774425129324,-0.0009599746683790489,0.00882742203464452,-0.14129894019616024,,-1.084291828625234,13.87010000156666,-0.03274808833030096,0.4839924670433145,-0.0009183191517657017,3.830025603944475e-05
0.45,-0.16372472134658192,-0.0014831407716864309,0.00882748409845903,-0.22098997410315963,,-1.0915166725938161,13.892087505195663,-0.03402702800609403,0.4811676082862524,-0.0009204041647170155,3.830025603944475e-05
0.47500000000000003,-0.22305639971435795,-0.002006035551850416,0.00882772284137331,-0.3002224560097268,,-1.0986889302617002,13.913254040255799,-0.03530977737177776,0.4797551789077213,-0.0009225074844568319,3.830025603944475e-05
0.5,-0.2823792179966998,-0.0025286591482354126,0.008828138249053477,-0.37899427383644463,,-1.1058090407024654,13.93359644336232,-0.03663174304749972,0.4792843691148776,-0.0009246291094999297,3.830025603944475e-05
