,sharpe,cagr,volatility,sortino,calmar,skew,kurtosis,max_drawdown,win_rate,daily_value_at_risk,breakeven
0.0,3.4326161739980607,0.029418785015629112,0.008457617949272083,6.266648229902993,,0.7354514155098096,6.656860808169062,-0.006388609898123732,0.5934959349593496,-0.0007611394900731065,3.300591176911471e-05
0.025,3.1812904225184937,0.027157548770571305,0.008434403377504587,5.726597065340495,,0.7266760077974334,6.67463100581057,-0.007058570034213285,0.5852668213457076,-0.0007674621415969926,3.300591176911471e-05
0.05,2.9282074391893325,0.024901250223298366,0.008412251424946136,5.197269699602786,,0.717701739122635,6.689512890387306,-0.007728087842655662,0.5754060324825986,-0.0007738948975143361,3.300591176911471e-05
0.07500000000000001,2.673446773817904,0.02264987865556023,0.008391170507264765,4.678680582790239,,0.7085220347274079,6.7014255256674,-0.008397163609374259,0.5672853828306265,-0.000780438629823328,3.300591176911471e-05
0.1,2.417091200299871,0.020403423372240992,0.008371168715950426,4.170809428192636,,0.6991304229844252,6.710294649350551,-0.009073827175187676,0.5539443155452436,-0.0007870941769320967,3.300591176911471e-05
0.125,2.1592266209232616,0.01816187370129585,0.008352253803810045,3.673628475547126,,0.6895205663390478,6.716053187868344,-0.009772420423811323,0.5446635730858469,-0.0007938623421558008,3.300591176911471e-05
0.15000000000000002,1.8999419578597792,0.015925218993713353,0.008334433170830886,3.187143678117422,,0.6796862930302471,6.718641746198614,-0.0104813955971641,0.5324825986078886,-0.0008007438922518002,3.300591176911471e-05
0.17500000000000002,1.6393290319571328,0.013693448623459226,0.008317713850468051,2.7113489663936905,,0.6696216294025631,6.718009067883864,-0.011189872972592885,0.5197215777262181,-0.0008077395559988623,3.300591176911471e-05
0.2,1.3774824290441319,0.01146655198743396,0.008302102496411584,2.246208373904645,,0.6593208325988983,6.714112460542882,-0.0118978528928394,0.5127610208816705,-0.0008148500228259817,3.300591176911471e-05
0.225,1.114499354039608,0.009244518505414412,0.00828760536988908,1.7917339513343298,,0.6487784234174314,6.706918182329083,-0.012728564393221231,0.5029002320185615,-0.0008220759414967682,3.300591176911471e-05
0.25,0.8504794732559491,0.007027337620006957,0.008274228327556594,1.3479414010142958,,0.6379892190990668,6.696401785016249,-0.01408166054838278,0.49129930394431554,-0.0008294179188547366,3.300591176911471e-05
0.275,0.5855247453723846,0.004814998796613734,0.008261976810031569,0.9148522488984493,,0.6269483658061873,6.68254840967637,-0.01652200935004089,0.4831786542923434,-0.0008368765186350913,3.300591176911471e-05
0.30000000000000004,0.31973924163863876,0.0026074915233560425,0.008250855831118061,0.49248206682423185,,0.6156513705437767,6.665353031271671,-0.020205213924725407,0.47447795823665895,-0.0008444522603483676,3.300591176911471e-05
0.325,0.053228955968519,0.0004048053110483618,0.008240869967771907,0.0808211788510036,,0.6040941322719903,6.644820648895683,-0.023876261960084078,0.4634570765661253,-0.0008521456182405938,3.300591176911471e-05
0.35000000000000003,-0.2138983943499668,-0.0017930703068618215,0.008232023350853148,-0.3201554343243238,,0.5922729719569108,6.620966418857591,-0.03431310976614654,0.45707656612529,-0.0008599570203351309,3.300591176911471e-05
0.375,-0.48153357650980333,-0.003986145774331873,0.008224319656706664,-0.7104841756436283,,0.5801846613065863,6.593815728324451,-0.04690353732000463,0.4431554524361949,-0.0008678868475602656,3.300591176911471e-05
0.4,-0.7495660577224006,-0.0061744315127856275,0.008217762099612414,-1.0902208260997959,,0.5678264499463739,6.56340420780462,-0.05955924268160151,0.4309744779582367,-0.000875935432966952,3.300591176911471e-05
0.42500000000000004,-1.0178842274826365,-0.008357937921155911,0.008212353425139212,-1.4594263734905506,,0.5551960907921103,6.529777681326792,-0.07281699916672535,0.4240139211136891,-0.0008841030610401703,3.300591176911471e-05
0.45,-1.2863756255469736,-0.010536675375929838,0.008208095904434788,-1.818175378248833,,0.5422918633929656,6.492992053820473,-0.08588802736741985,0.4176334106728538,-0.0008923899671072425,3.300591176911471e-05
0.47500000000000003,-1.554927174564226,-0.012710654231200436,0.008204991329479798,-2.1665688950260744,,0.5291125950280232,6.453113135820253,-0.09877495483706689,0.4124129930394432,-0.0009007963368461103,3.300591176911471e-05
0.5,-1.8234254162472432,-0.014879884818713607,0.00820304100932772,-2.504729821795534,,0.515657679355791,6.410216406278602,-0.11158733492805395,0.4019721577726218,-0.000909322305895706,3.300591176911471e-05
