,0
2016-10-20,100.00647575296821
2016-10-21,100.02404310602813
2016-10-24,99.96159447692128
2016-10-25,99.94583570203311
2016-10-26,99.95050910958031
2016-10-27,99.96178477722756
2016-10-28,99.94685803403243
2016-10-31,99.9231611014211
2016-11-01,99.94475490389539
2016-11-02,99.93731327838414
2016-11-03,100.00355199557869
2016-11-04,100.00913456689928
2016-11-07,100.00994916577304
2016-11-08,100.06111353453907
2016-11-10,100.24706929464502
2016-11-11,100.25844587314066
2016-11-14,100.39164153879739
2016-11-15,100.42747129198122
2016-11-16,100.5714705498414
2016-11-17,100.54746386815788
2016-11-21,100.61763364914826
2016-11-22,100.64800588391711
2016-11-24,100.7188366538015
2016-11-25,100.74092990412056
2016-11-30,101.01956156959461
2016-12-01,101.24940604705776
2016-12-02,101.16262538568972
2016-12-05,101.26578315198194
2016-12-06,101.21378016832365
2016-12-08,101.14680016599944
2016-12-09,101.28503469061354
2016-12-12,101.36840772238769
2016-12-14,101.5918229959912
2016-12-15,101.7789764167961
2016-12-16,101.82207696691563
2016-12-19,101.827125802821
2016-12-20,101.86681983415377
2016-12-21,101.53368996517808
2016-12-22,101.48062166582447
2016-12-26,101.62727260686786
2016-12-27,101.68350865608895
2016-12-28,101.73424988280908
2016-12-29,101.6915035114434
2017-01-03,101.7725991037833
2017-01-05,101.76052180070978
2017-01-06,101.77419805372135
2017-01-10,101.61139599912168
2017-01-17,101.64336303769639
2017-01-18,101.61201394393733
2017-01-19,101.58290592803041
2017-01-20,101.61456051503286
2017-01-26,101.8273611752298
2017-02-06,101.97169923996576
2017-02-07,101.99231529041882
2017-02-08,101.95283294871662
2017-02-09,101.90513092373494
2017-02-10,101.9272716921537
2017-02-15,102.00103672150458
2017-02-16,101.96764614512865
2017-02-21,102.0189106275168
2017-02-22,101.9556855005633
2017-02-27,101.94176970610714
2017-03-07,102.00780921508692
2017-03-10,102.02115353178094
2017-03-15,101.93763117493147
2017-03-16,101.7817364242141
2017-03-17,101.80662083066552
2017-03-20,101.74383168441653
2017-03-21,101.7321417104514
2017-03-22,101.77394914068412
2017-03-23,101.87603098256346
2017-03-24,101.91274537206647
2017-03-28,101.85811851960219
2017-03-29,101.9688540507246
2017-03-30,101.97518223031132
2017-03-31,102.00932975068018
2017-04-05,102.06980068162812
2017-04-06,102.06471364537171
2017-04-14,102.05177995748211
2017-04-18,102.05984926616311
2017-04-20,102.06354271479421
2017-05-02,101.99437938407544
2017-05-03,101.93628753761726
2017-05-04,101.9212090025392
2017-05-05,101.95461510547403
2017-05-08,102.00804741640329
2017-05-09,101.98065001010067
2017-05-10,101.97616284847058
2017-05-22,102.09229584140233
2017-05-23,102.177699791191
2017-05-24,102.16410231265691
2017-05-25,102.17275012761257
2017-05-31,102.2113101336074
2017-06-01,102.21915841519349
2017-06-05,102.1922768869656
2017-06-06,102.17754360611684
2017-06-07,102.18342969462553
2017-06-12,102.19310814654861
2017-06-26,102.48997771796327
2017-06-27,102.4750276194731
2017-06-28,102.45361730604546
2017-06-29,102.4062281977597
2017-06-30,102.44330917189615
2017-07-05,102.44116864361928
2017-07-06,102.44112195191992
2017-07-07,102.45216885226796
2017-07-11,102.43665817530443
2017-07-12,102.46063970470354
2017-07-13,102.51113504251256
2017-07-14,102.52880972561978
2017-07-17,102.53241820731813
2017-07-18,102.51515665456526
2017-07-19,102.5321679397402
2017-07-20,102.57283672384239
