,sharpe,cagr,volatility,sortino,calmar,skew,kurtosis,max_drawdown,win_rate,daily_value_at_risk,breakeven
0.0,1.766962423390709,0.010507442572235348,0.005925644360456317,2.6137744324971988,,-0.5046717822405415,9.32008669255454,-0.0190236829253303,0.5715434083601286,-0.0005724426271229356,1.2011554482796011e-05
0.025,1.4024144383278985,0.008310570710785115,0.005913976586312391,2.0454990949107867,,-0.510754452568232,9.403890648626595,-0.02109850554083692,0.5530546623794212,-0.000579870740989277,1.2011554482796011e-05
0.05,1.0360218042467497,0.0061184422227953394,0.005904606795700612,1.4899083476602852,,-0.5158608006183253,9.474696210630313,-0.02820034288938611,0.5365755627009646,-0.0005875369628070272,1.2011554482796011e-05
0.07500000000000001,0.6682027843837733,0.003931046936735738,0.005897545941470717,0.9474100095176574,,-0.5200536678865603,9.53195078585701,-0.03587589525585266,0.5196945337620579,-0.0005954424274670786,1.2011554482796011e-05
0.1,0.2993841903324584,0.0017483747027366991,0.005892802323446956,0.41846886800354083,,-0.5234028665134264,9.575206421616926,-0.04553955085725636,0.5028135048231511,-0.0006035879949643487,1.2011554482796011e-05
0.125,-0.07000105367302036,-0.0004295846074536813,0.005890381539953582,-0.0964509977696439,,-0.5259844021603401,9.604126858871235,-0.05702813734453038,0.4871382636655949,-0.0006119742453750204,1.2011554482796011e-05
0.15000000000000002,-0.4395164311418257,-0.002602841100518005,0.005890286454899367,-0.5969073319660049,,-0.527879596246226,9.618492794723283,-0.07112795327488486,0.47226688102893893,-0.000620601475445979,1.2011554482796011e-05
0.17500000000000002,-0.8087244044459746,-0.004771404861613537,0.005892517180870664,-1.0824865536611161,,-0.5291741247876927,9.618205211858903,-0.0854956425210256,0.45739549839228294,-0.0006294696968429728,1.2011554482796011e-05
0.2,-1.177189001479795,-0.006935285954418613,0.0058970710784660785,-1.552794958145504,,-0.5299569933933057,9.603286686898153,-0.09996316795042692,0.4417202572347267,-0.0006385786360816887,1.2011554482796011e-05
0.225,-1.544478382255257,-0.009094494421177046,0.005903942771881102,-2.0074825048115077,,-0.53031946963466,9.573880647091249,-0.11421451867077248,0.4272508038585209,-0.0006479277361425553,1.2011554482796011e-05
0.25,-1.9101673503091636,-0.011249040282742317,0.005913124180528712,-2.4462650859420467,,-0.5303539949858339,9.53024860337305,-0.1282404483791505,0.4111736334405145,-0.0006575161597471487,1.2011554482796011e-05
0.275,-2.2738397751315538,-0.013398933538629754,0.00592460456626433,-2.8689083942673905,,-0.5301530987646715,9.472765444968388,-0.1420840743782239,0.39509646302250806,-0.0006673427942514687,1.2011554482796011e-05
0.30000000000000004,-2.635090893971173,-0.015544184167049724,0.005938370595574744,-3.2752908501107045,,-0.5298083360144803,9.401912934071374,-0.15623808796740013,0.37942122186495175,-0.0006774062580896806,1.2011554482796011e-05
0.325,-2.9935294642559707,-0.017684802124962817,0.005954406415900164,-3.665352168570704,,-0.5294092700730307,9.318271586368832,-0.17015882029921858,0.3657556270096463,-0.0006877049086823318,1.2011554482796011e-05
0.35000000000000003,-3.348779741358342,-0.01982079734812303,0.005972693745085308,-4.039137571385883,,-0.5290425187599117,9.222511162614344,-0.183850112382824,0.35610932475884244,-0.0006982368517049121,1.2011554482796011e-05
0.375,-3.7004832604349125,-0.021952179751119516,0.005993211972806308,-4.396801686551945,,-0.5287908807566317,9.115380026538881,-0.19763134348772005,0.34766881028938906,-0.0007089999515972997,1.2011554482796011e-05
0.4,-4.048300405416831,-0.024078959227419316,0.006015938272700054,-4.738583366198096,,-0.5287325559841506,8.997693644470846,-0.21459182236880936,0.3372186495176849,-0.0007199918431821513,1.2011554482796011e-05
0.42500000000000004,-4.391911752787695,-0.026201145649421775,0.006040847723823662,-5.064760958456573,,-0.5289404707236846,8.87032251166452,-0.23119403645593917,0.32435691318327975,-0.000731209944250089,1.2011554482796011e-05
0.45,-4.731019182393278,-0.028318748868492283,0.006067913440010013,-5.3756428090240185,,-0.5294817150077339,8.734179789854464,-0.2474455483643453,0.3163183279742765,-0.0007426514689629646,1.2011554482796011e-05
0.47500000000000003,-5.065346752078704,-0.03043177871501357,0.0060971067056451896,-5.671661710465314,,-0.5304170965723214,8.59020893055322,-0.2633880252622839,0.3062700964630225,-0.0007543134419226077,1.2011554482796011e-05
0.5,-5.394641337266729,-0.032540244998426004,0.006128397116386368,-5.953300750398332,,-0.5318008125208311,8.439371540391496,-0.2790233193480074,0.30064308681672025,-0.0007661927127514405,1.2011554482796011e-05
