,US
sharpe,0.7350453055917632
cagr,0.006483585915718404
volatility,0.008845518973758196
sortino,1.03623825170172
calmar,
skew,-0.9760326705033872
kurtosis,13.473024940670774
max_drawdown,-0.020108110870038054
win_rate,0.5216572504708098
daily_value_at_risk,-0.0008907366187610517
breackeven,3.830025603944475e-05
