,US,EU,Mexico,Chile,Brazil,India,China
0.0,0.9017107542009024,1.766962423390709,2.0929321026872576,2.156163811126953,2.346054879875943,2.095113988348107,3.4326161739980607
0.025,0.8428257380819225,1.4024144383278985,2.000642583136737,2.0991378422504567,2.2973683160436154,1.9914872719918837,3.1812904225184937
0.05,0.7838861424564111,1.0360218042467495,1.908184569404072,2.042019590819866,2.248610035417472,1.8875316416284664,2.9282074391893325
0.075,0.7248954073545291,0.6682027843837733,1.8155658414114928,1.9848116833358205,2.1997814405309577,1.7832554472336408,2.673446773817904
0.1,0.6658569881963078,0.2993841903324584,1.722794248374081,1.927516767403531,2.1508839446853965,1.6786671956708836,2.417091200299871
0.125,0.606774354797816,-0.0700010536730203,1.6298777056270293,1.8701375111621927,2.101918971767465,1.573775548166958,2.1592266209232616
0.15,0.5476509903681857,-0.4395164311418257,1.5368241913857494,1.81267660270103,2.0528879560622197,1.4685893176332594,1.8999419578597792
0.175,0.4884903904946344,-0.8087244044459746,1.443641743442232,1.755136749466209,2.003792342062997,1.3631174658284573,1.6393290319571328
0.2,0.4292960621226239,-1.177189001479795,1.3503384558019278,1.6975206776552791,1.9546335842777915,1.257369100364938,1.377482429044132
0.225,0.3700715225252595,-1.544478382255257,1.256922475263708,1.6398311316029932,1.9054131470312008,1.1513534715619829,1.114499354039608
0.25,0.3108202982655453,-1.9101673503091636,1.1634019979454564,1.5820708731552402,1.8561325042643455,1.045079969143543,0.8504794732559491
0.275,0.2515459241548637,-2.2738397751315538,1.0697852657592517,1.5242426810350849,1.8067931393303052,0.9385581187863452,0.5855247453723846
0.3,0.1922519422015075,-2.635090893971173,0.9760805628399496,1.4663493501970415,1.7573965447861375,0.8317975785170628,0.3197392416386387
0.325,0.1329419005576485,-2.9935294642559707,0.8822962119305423,1.408393691175282,1.707944222182192,0.7248081349625283,0.053228955968519
0.35,0.0736193524600446,-3.348779741358342,0.788440570726656,1.3503785294195774,1.6584376818480386,0.617599699455676,-0.2138983943499668
0.375,0.0142878551672474,-3.700483260434913,0.6945220281864213,1.2923067046261711,1.608878442674871,0.5101823039995016,-0.4815335765098033
0.4,-0.0450490311047819,-4.048300405416831,0.6005490008071147,1.2341810700578413,1.5592680318953287,0.4025660970911071,-0.7495660577224006
0.425,-0.1043877442512932,-4.391911752787695,0.506529928873153,1.1760044918576364,1.5096079848593604,0.2947613394126019,-1.0178842274826363
0.45,-0.1637247213465819,-4.731019182393278,0.4124732726802309,1.1177798483555508,1.4598998448085398,0.1867783993878876,-1.2863756255469736
0.475,-0.2230563997143579,-5.065346752078704,0.3183875087381508,1.0595100293673037,1.4101451626462211,0.0786277486132545,-1.554927174564226
0.5,-0.2823792179966998,-5.394641337266729,0.2242811259574746,1.0011979354873968,1.360345496705469,-0.0296800428365459,-1.8234254162472432
