,US,EU,Mexico,Chile,Brazil,India,China
2017-03-28,100.03831501248524,101.3083008084956,99.96229824483936,100.0,100.86903884700963,100.0,101.8581185196022
2017-03-29,100.04661447236477,101.39546435299604,99.96656565545464,100.0,100.85222995597849,100.0,101.9688540507246
2017-03-30,100.09668025072442,101.44809133259425,99.98105310141838,100.0,100.97608066486748,99.99352152127776,101.97518223031132
2017-03-31,100.13132517380828,101.43954114433755,99.95886942964066,100.0,101.02989066624365,100.07997939160396,102.00932975068018
2017-04-03,100.14421882106132,101.51152124592684,99.9658609882392,100.0,101.06498053293063,100.0875996868698,102.00932975068018
2017-04-05,100.2113326482944,101.52956225919964,99.9460732457726,100.0,101.1891061906678,100.08343706896912,102.06980068162812
2017-04-06,100.25181013341624,101.52744790811528,99.96680339008353,100.0,101.31183404132476,100.18143965084624,102.06471364537173
2017-04-07,100.24422502509974,101.53420442379768,99.96254651519588,100.0,101.34349345125185,100.16929516167204,102.06471364537173
2017-04-10,100.23738510420073,101.53187841309496,99.98250437710062,100.0,101.391595653811,100.20041783459168,102.06471364537173
2017-04-11,100.22396261417954,101.52913165048705,99.9904946070598,100.0,101.4528860791887,100.16054723587298,102.06471364537173
2017-04-12,100.20996581650228,101.55016809976986,100.02583514394304,100.0,101.54482601021115,100.16054723587298,102.06471364537173
2017-04-13,100.22737381176044,101.53955766519115,100.02583514394304,100.0,101.58294133459977,100.11261513585012,102.06471364537173
2017-04-17,100.2039893481396,101.53955766519115,99.9266285083832,100.0,101.56812133733068,100.11333211696004,102.06471364537173
2017-04-18,100.13617633189122,101.55966853636323,99.93077354525856,100.0,101.44790585320922,100.12537212415786,102.05984926616313
2017-04-19,100.20737459735784,101.5842570452979,99.9545902534249,100.0,101.43769725877586,100.08382963706131,102.05984926616313
2017-04-20,100.29847654762816,101.60710513588222,99.97227290699024,100.0,101.41585727765204,100.08615295473466,102.0635427147942
2017-04-21,100.26602678056516,101.63470616682572,99.98648842766993,100.0,101.41585727765204,100.07203039819206,102.0635427147942
2017-04-24,100.43154719916711,101.62521936399956,99.97384592922604,100.0,101.35080289442892,100.10386711656278,102.0635427147942
2017-04-25,100.47996732606886,101.59026748313092,99.98334897141292,100.0,101.35013184103758,100.11097087877818,102.0635427147942
2017-04-26,100.4859658229248,101.5834684796945,99.9506037891916,100.0,101.3070626151122,100.15174871034344,102.0635427147942
2017-04-27,100.50654899468444,101.61363185086569,99.8990386174546,100.0,101.24640140139203,100.15619481019333,102.0635427147942
2017-04-28,100.53151995573866,101.64155273796692,99.94541462473424,100.0,101.17841151745152,100.17209299349337,102.0635427147942
2017-05-01,100.51347416642729,101.64155273796692,99.94541462473424,100.0,101.17841151745152,100.17209299349337,102.0635427147942
2017-05-02,100.50816673726,101.60553286061403,99.94592937957954,100.0,100.95636709373515,100.19389117147767,101.99437938407544
2017-05-03,100.54663678221404,101.58030160126476,99.93018924586104,100.0,100.89991377674843,100.19815556515366,101.93628753761726
2017-05-04,100.5552159626076,101.6407072743336,99.93149086970136,100.0,101.0122835146612,100.22968660788862,101.9212090025392
2017-05-05,100.57699049866213,101.6302547774727,99.93146791070583,100.0,101.029419873069,100.16987432236763,101.95461510547403
2017-05-08,100.57724119518296,101.64927007660756,99.93760438944656,100.0,101.04747877781892,100.14630578783814,102.00804741640329
2017-05-09,100.5663610208095,101.66462918708126,99.94451870804797,100.0,100.98171237239616,100.16186190999048,101.98065001010067
2017-05-10,100.57164630257374,101.64017173277612,99.9333979384158,100.0,101.0607960118404,100.17366898239231,101.97616284847058
2017-05-11,100.58965629494892,101.6449398791626,99.9236221033331,100.0,101.08153501016002,100.13567384293611,101.97616284847058
2017-05-12,100.62680468564874,101.65058808522949,99.91215707798008,100.0,101.0802513567663,100.09641798684048,101.97616284847058
2017-05-15,100.66847764798425,101.66063488266347,99.87069893330457,100.0,101.07658760814935,100.10061929905068,101.97616284847058
2017-05-16,100.66716262571023,101.6636375246606,99.84908660257166,100.0,101.0838027902227,100.08579810086636,101.97616284847058
2017-05-17,100.63190497833476,101.6971809488614,99.83880565313426,100.0,101.1653555058106,100.07110162286553,101.97616284847058
2017-05-18,100.70946787064004,101.7281299366654,99.98128812098514,100.0,101.20571518683224,100.05937964630732,101.97616284847058
2017-05-22,100.7688699862381,101.72012015552122,99.96466391837386,100.0,101.61545809853018,100.06725722590257,102.09229584140232
2017-05-23,100.78168932232738,101.71671773146328,99.96286741180688,100.0,101.70301501589148,100.02968998269898,102.177699791191
2017-05-24,100.75788665508172,101.72023152328212,99.95568110351398,100.0,101.76506844419448,100.04943846996076,102.16410231265692
2017-05-25,100.83161541358967,101.71714674357531,99.97184413002272,100.0,101.827338265968,100.02717854876882,102.17275012761256
2017-05-26,100.83526565683474,101.70230585869416,100.102860307665,100.0,101.9611951519338,100.01502706098957,102.17275012761256
2017-05-30,100.84825074834004,101.70221485273127,100.1115301446833,100.0,102.05863029074158,100.00963643914606,102.17275012761256
2017-05-31,100.86422186575255,101.6986949202025,100.1182229598632,100.0,102.1461031884626,100.0132943630633,102.2113101336074
2017-06-01,100.94136217615356,101.70245912717232,100.1229077746733,100.0,102.24673743754798,99.98383179016952,102.21915841519348
2017-06-02,100.91433284641592,101.7123215274462,100.12202603480154,100.0,102.28222966183588,99.97474695348556,102.21915841519348
2017-06-05,100.91219897527375,101.72509581035686,100.08857446974972,100.0,102.38685505473278,100.01004749959765,102.1922768869656
2017-06-06,100.8405213977897,101.70910228789792,100.07198115640674,100.0,102.44347440789733,99.98367370567324,102.17754360611684
2017-06-07,100.83994557643524,101.72121498365988,100.04587828037566,100.0,102.47848417760086,99.94744750842308,102.18342969462552
2017-06-08,100.81050403880522,101.70215365209864,100.0589272037347,100.0,102.510731406116,100.0047236432758,102.18342969462552
2017-06-09,100.82150317600676,101.68412413050083,100.10384790844444,100.0,102.49616217587445,99.92490430862776,102.18342969462552
2017-06-12,100.809376405258,101.66627878106488,100.0973814163646,100.0,102.51724045941413,99.98219576175518,102.1931081465486
2017-06-13,100.796340296462,101.66393646556288,100.09195288715524,100.0,102.5447075635612,99.98455778527608,102.1931081465486
2017-06-14,100.7299633547234,101.67381385162612,100.0878266083892,100.0,102.57502710219366,99.99044862235424,102.1931081465486
2017-06-15,100.74088012336225,101.68741365564298,100.08433841781226,100.0,102.577334298935,99.98452374274208,102.1931081465486
2017-06-16,100.7221939066495,101.67459854672263,100.0792722905163,100.0,102.5527211375952,99.99363868297075,102.1931081465486
2017-06-19,100.7465163804692,101.68038409729203,100.0859894074347,100.0,102.5121151244231,99.99619578938857,102.1931081465486
2017-06-20,100.74881424244822,101.66480162619575,100.07888800354652,100.0,102.55266625913946,99.99928367841066,102.1931081465486
2017-06-21,100.74214416300973,101.6908447901936,100.06310264741268,100.0,102.5253347115814,99.9867269899626,102.1931081465486
2017-06-22,100.73980326524818,101.69539820718452,100.13486174613442,100.0,102.509434296509,100.0067029330274,102.1931081465486
2017-06-23,100.7786766347571,101.73049994918247,100.06353908852014,100.0,102.50683174310328,100.02537562091928,102.1931081465486
2017-06-26,100.79162920455778,101.74747948030392,100.08944973148466,100.0,102.50557134066922,100.02537562091928,102.48997771796328
2017-06-27,100.81758214217874,101.7969215820283,100.08969704533804,100.0,102.50722442052908,100.02008689791336,102.4750276194731
2017-06-28,100.85331776334256,101.81281878697015,100.09229446636608,100.0,102.46796862216068,100.01859860793942,102.45361730604546
2017-06-29,100.83413376336534,101.84672749103096,100.09144927305186,100.0,102.46931076901896,100.00330166735006,102.4062281977597
2017-06-30,100.87800148009931,101.85424012713888,100.07018812062614,100.0,102.4103916305855,100.03327588427278,102.44330917189616
2017-07-03,100.94445772591334,101.86305393977626,100.0595828825409,100.0,102.4552803531546,100.04206794267536,102.44330917189616
2017-07-05,100.96219674583568,101.87268988828768,100.05919423011778,100.0,102.4346499760183,99.99665440857316,102.44116864361928
2017-07-06,100.93565085396344,101.80056721365938,99.98294982369109,100.0,102.4692969667894,100.02233286534307,102.44112195191992
2017-07-07,100.91302799866271,101.81098928398838,99.97659524239644,100.0,102.49021789906163,100.03850088961224,102.45216885226796
2017-07-10,100.90329561456606,101.83216244205953,99.99820080137889,100.0,102.52119108658574,100.09974323021235,102.45216885226796
2017-07-11,100.88942279747673,101.82549530263074,99.96425972075596,100.0,102.56157534886916,100.07346645422083,102.43665817530444
2017-07-12,100.87614646372396,101.83874964484394,99.95990236728292,100.0,102.55733309973652,100.10973192821038,102.46063970470354
2017-07-13,100.89262095539236,101.83447436774496,99.94041144076697,100.0,102.57791290790198,100.11024045552368,102.51113504251256
2017-07-14,100.8516354220946,101.8189064501322,99.94248214094756,100.0,102.6109961773384,100.11024045552368,102.52880972561978
2017-07-17,100.84175921288548,101.83399962227683,99.9361273522105,100.0,102.6199507479455,100.11024045552368,102.53241820731812
2017-07-18,100.83443180391632,101.84001044352028,99.93395985929864,100.0,102.66836955880854,100.11024045552368,102.51515665456526
2017-07-19,100.8822645141266,101.8528639808338,99.95108548094112,100.0,102.68523711793878,100.11341979745904,102.5321679397402
2017-07-20,100.8624758627143,101.84045775757708,99.95833665677564,100.0,102.74320005019295,100.11341979745904,102.5728367238424
2017-07-21,100.84706349034936,101.86388035064276,99.97758824952616,100.0,102.74352229585696,100.13576418363432,102.5728367238424
2017-07-24,100.88689750487303,101.85713569500348,99.99051067019758,100.0,102.79556203097869,100.157241197066,102.5728367238424
2017-07-25,100.92096314700989,101.81130470890092,99.98160760126792,100.0,102.81517116192076,100.11555657022204,102.58524227162428
2017-07-26,100.86710777130877,101.80553663013347,100.0304655547057,100.0,102.83986720319947,100.11455210103544,102.58524227162428
2017-07-27,100.8627429523586,101.82267072989524,100.03601710706891,100.0,102.8512654283854,100.12078347535432,102.5851093429329
2017-07-28,100.85584915245188,101.81162284251164,100.0283857947526,100.0,102.8316186705906,100.12078347535432,102.58836027640284
2017-08-01,100.86204620854323,101.83463585491047,100.04001554748687,100.0,102.72299969937453,100.12836444936006,102.57131004867672
2017-08-02,100.8807589744347,101.84574377572336,100.0360189993488,100.0,102.70831137793095,100.20277785598456,102.57096257201287
2017-08-03,100.8527378447952,101.87301192068318,100.02921723779596,100.0,102.71481757161858,100.2423441550664,102.59916906668676
2017-08-04,100.88733291973094,101.87576554166478,100.0224466073466,100.0,102.73253451107706,100.2267273002285,102.5768797260069
2017-08-07,100.900006314772,101.8808746481223,100.00600711570948,100.0,102.72082699779575,100.22361317334769,102.5768797260069
2017-08-08,100.92651413503336,101.8680674424082,100.01478089853435,100.0,102.7276179149948,100.2519410125788,102.555861941419
2017-08-09,100.91026237863458,101.91338061308906,100.06338776060193,100.0,102.72894222494465,100.2519410125788,102.55876129502435
2017-08-10,100.87330857963768,101.9394845977649,99.98606517730288,100.0,102.72190016741422,100.23390920919071,102.55876129502435
2017-08-11,100.7824866021525,101.9894745726692,100.00143278732315,100.0,102.7516696346138,100.27017691850688,102.55876129502435
2017-08-14,100.87869180325302,101.99051111330506,100.01003461145588,100.0,102.7204744395534,100.27017691850688,102.55876129502435
2017-08-15,100.95109896350483,102.0089715970396,99.97924306956465,100.0,102.70130010993496,100.27017691850688,102.55876129502435
2017-08-16,100.90965089753244,101.99934784243854,100.00689001118135,100.0,102.68511962815776,100.24362607991463,102.55876129502435
2017-08-18,100.88606939893864,102.05195257440148,99.95916709107082,100.0,102.68455802404031,100.2955311043578,102.61243549065058
2017-08-21,100.84525413368112,102.06144456708014,99.96241959355524,100.0,102.68742426363534,100.29383891879526,102.61243549065058
2017-08-24,100.90017487433178,102.06032307316876,99.98165326611311,100.0,102.60708124132138,100.30302282507448,102.62907732278374
2017-08-28,100.84851595801416,102.01591481123512,99.96910782976671,100.0,102.63491390326614,100.30302282507448,102.62907732278374
