,,Residuals PCA
DM,US,0.38300256039444747
DM,EU,0.12011554482796011
EM LatAm,Mexico,0.5593462248650964
EM LatAm,Chile,0.928135216502346
EM LatAm,Brazil,1.1794343565260001
EM Asia,India,0.49259095732572794
EM Asia,China,0.3300591176911471
